Name,Year,Population,Male in STEM,Female in STEM,Employment Count,Employment Rate,Income per Capita,County,State,Total in STEM,STEM Rate
"Sumter County, Florida",2011,97756.0,,,21074.0,21.557756045664718,24792.0,Sumter County, Florida,,
"Volusia County, Florida",2011,494804.0,5561.0,1073.0,187986.0,37.992012999086505,21920.0,Volusia County, Florida,6634.0,1.3407328962579121
"Barrow County, Georgia",2011,69912.0,,,31366.0,44.86497310905138,19310.0,Barrow County, Georgia,,
"Bartow County, Georgia",2011,100421.0,1461.0,636.0,40769.0,40.5980820744665,19748.0,Bartow County, Georgia,2097.0,2.088208641618785
"Bibb County, Georgia",2011,156433.0,1334.0,309.0,60754.0,38.83707401890906,19513.0,Bibb County, Georgia,1643.0,1.050289900468571
"Bulloch County, Georgia",2011,72881.0,358.0,211.0,31622.0,43.38853747890397,16868.0,Bulloch County, Georgia,569.0,0.7807247430743266
"Carroll County, Georgia",2011,111159.0,1206.0,290.0,45087.0,40.56081828731816,19708.0,Carroll County, Georgia,1496.0,1.34581995160086
"Chatham County, Georgia",2011,271544.0,3050.0,1127.0,115904.0,42.683322039890406,23137.0,Chatham County, Georgia,4177.0,1.5382405797955396
"Cherokee County, Georgia",2011,218286.0,4840.0,1148.0,107683.0,49.3311527079153,27369.0,Cherokee County, Georgia,5988.0,2.743190126714494
"Clarke County, Georgia",2011,117344.0,1243.0,1687.0,49215.0,41.94078947368421,17924.0,Clarke County, Georgia,2930.0,2.4969320970820834
"Clayton County, Georgia",2011,261532.0,2242.0,1218.0,109426.0,41.84038664484652,16479.0,Clayton County, Georgia,3460.0,1.3229738617071716
"Cobb County, Georgia",2011,697553.0,20957.0,6391.0,347854.0,49.86775198443703,30977.0,Cobb County, Georgia,27348.0,3.920562308527094
"Columbia County, Georgia",2011,128112.0,1669.0,364.0,60399.0,47.14546646684151,28476.0,Columbia County, Georgia,2033.0,1.5868927188709878
"Coweta County, Georgia",2011,129629.0,,,58620.0,45.22136250376073,24261.0,Coweta County, Georgia,,
"DeKalb County, Georgia",2011,699893.0,13431.0,8923.0,324092.0,46.30593533582991,26741.0,DeKalb County, Georgia,22354.0,3.1939167844227616
"Dougherty County, Georgia",2011,94788.0,562.0,157.0,34360.0,36.24931425918893,16007.0,Dougherty County, Georgia,719.0,0.7585348356332025
"Douglas County, Georgia",2011,133355.0,1137.0,910.0,59679.0,44.75197780360691,22867.0,Douglas County, Georgia,2047.0,1.5350005624086087
