State,City,Region,Year,County,Investment (USD)
CA,San Francisco,SF Bay Area,2015,San Francisco County,66306951912.26291
CA,San Francisco,SF Bay Area,2014,San Francisco County,57243164739.0
NY,New York,New York City,2015,New York County,21421987560.01196
CA,San Francisco,SF Bay Area,2013,San Francisco County,18126349865.0
CA,San Francisco,SF Bay Area,2011,San Francisco County,15514736903.0
NY,New York,New York City,2014,New York County,14837187164.0
CA,San Francisco,SF Bay Area,2012,San Francisco County,13255025038.0
IL,Chicago,Chicago,2011,Cook County,10077627990.0
NY,New York,New York City,2013,New York County,9944360953.0
MA,Cambridge,Boston,2015,Middlesex County,8276859854.0
NY,New York,New York City,2011,New York County,7112197723.0
CA,Mountain View,SF Bay Area,2014,Santa Clara County,6759871571.0
CA,Palo Alto,SF Bay Area,2014,Santa Clara County,6158300000.0
MA,Boston,Boston,2015,Suffolk County,6057960036.0
CA,Palo Alto,SF Bay Area,2015,Santa Clara County,5846474982.0
CA,Mountain View,SF Bay Area,2015,Santa Clara County,5803542492.0
CA,Mountain View,SF Bay Area,2013,Santa Clara County,5790534980.0
CA,Hawthorne,Los Angeles,2015,Los Angeles County,5000000000.0
CA,San Mateo,SF Bay Area,2015,San Mateo County,4841900016.0
CA,Redwood City,SF Bay Area,2015,San Mateo County,4325432563.0
NY,New York,New York City,2012,New York County,4114776548.0
CA,Redwood City,SF Bay Area,2014,San Mateo County,3601110480.0
IL,Chicago,Chicago,2015,Cook County,3413900002.0
CA,Palo Alto,SF Bay Area,2013,Santa Clara County,3349199997.0
CA,Mountain View,SF Bay Area,2012,Santa Clara County,3276137920.0
CA,Santa Clara,SF Bay Area,2014,Santa Clara County,2987212720.0
WA,Seattle,Seattle,2015,King County,2929568991.0
CA,San Jose,SF Bay Area,2015,Santa Clara County,2866045452.0
WA,Seattle,Seattle,2014,King County,2766911223.0
CA,Santa Clara,SF Bay Area,2011,Santa Clara County,2419480139.0
CA,San Mateo,SF Bay Area,2014,San Mateo County,2414282134.0
DC,Washington,"Washington, D.C.",2011,District of Columbia County,2328700000.0
CA,San Diego,San Diego,2015,San Diego County,2283600000.0
MA,Cambridge,Boston,2012,Middlesex County,2275638796.0
CA,San Jose,SF Bay Area,2014,Santa Clara County,2260580394.0
TX,Austin,Austin,2015,Travis County,2251676549.0
TX,Austin,Austin,2014,Travis County,2176578773.0
MA,Cambridge,Boston,2011,Middlesex County,2102055182.0
MA,Cambridge,Boston,2014,Middlesex County,2094632424.0
CA,Menlo Park,SF Bay Area,2014,San Mateo County,2056250000.0
MA,Boston,Boston,2014,Suffolk County,2043392831.0
IL,Chicago,Chicago,2014,Cook County,2008476776.0
CA,Sunnyvale,SF Bay Area,2014,Santa Clara County,1991981082.0
CA,Menlo Park,SF Bay Area,2013,San Mateo County,1962251350.0
CA,Santa Clara,SF Bay Area,2015,Santa Clara County,1953400000.0
CA,Mountain View,SF Bay Area,2011,Santa Clara County,1951237699.0
CA,Redwood City,SF Bay Area,2012,San Mateo County,1922200000.0
CA,Palo Alto,SF Bay Area,2011,Santa Clara County,1894399980.0
CA,Redwood City,SF Bay Area,2013,San Mateo County,1872322144.0
CA,Los Angeles,Los Angeles,2015,Los Angeles County,1798258950.0
CA,Sunnyvale,SF Bay Area,2015,Santa Clara County,1795128320.927731
MA,Waltham,Boston,2015,Middlesex County,1764000000.0
CA,San Diego,San Diego,2013,San Diego County,1763900005.0
WA,Seattle,Seattle,2013,King County,1709878866.3192186
CA,San Diego,San Diego,2014,San Diego County,1704177627.0
CA,Redwood City,SF Bay Area,2011,San Mateo County,1695100000.0
CA,San Mateo,SF Bay Area,2011,San Mateo County,1694367338.0
MA,Boston,Boston,2012,Suffolk County,1663887754.0
MA,Boston,Boston,2011,Suffolk County,1661079568.0
MA,Waltham,Boston,2014,Middlesex County,1651209632.0
MA,Cambridge,Boston,2013,Middlesex County,1646092337.0
GA,Atlanta,Atlanta,2015,Fulton County,1643170675.0
CA,Santa Clara,SF Bay Area,2013,Santa Clara County,1591595472.0
CA,Santa Monica,Los Angeles,2014,Los Angeles County,1560500000.0
CA,San Mateo,SF Bay Area,2012,San Mateo County,1545972049.0
