Origin State,Origin County,Count
Massachusetts,Middlesex County,15
Michigan,Oakland County,9
Massachusetts,Worcester County,8
New York,Dutchess County,8
New Jersey,Middlesex County,8
Michigan,Wayne County,7
Pennsylvania,Montgomery County,7
Minnesota,Hennepin County,7
Connecticut,Hartford County,6
Connecticut,New Haven County,6
Massachusetts,Essex County,6
New Jersey,Essex County,6
New Jersey,Bergen County,6
Pennsylvania,Allegheny County,6
New York,Westchester County,6
Minnesota,Ramsey County,5
Michigan,Washtenaw County,5
Connecticut,Fairfield County,5
New Jersey,Monmouth County,5
Michigan,Macomb County,5
Massachusetts,Norfolk County,5
New Jersey,Mercer County,5
New York,Saratoga County,4
New Jersey,Passaic County,4
New York,Suffolk County,4
New Jersey,Hudson County,4
New York,Monroe County,4
New Jersey,Morris County,4
New Jersey,Camden County,4
New York,Nassau County,4
Vermont,Windsor County,4
New Jersey,Burlington County,4
New York,Albany County,4
New York,Erie County,4
New Hampshire,Hillsborough County,4
New Jersey,Somerset County,4
Maine,Androscoggin County,3
Connecticut,New London County,3
New York,Ulster County,3
Pennsylvania,Centre County,3
Pennsylvania,Lehigh County,3
Pennsylvania,Westmoreland County,3
Pennsylvania,Delaware County,3
Pennsylvania,Dauphin County,3
Wisconsin,Milwaukee County,3
Minnesota,Washington County,3
Pennsylvania,Susquehanna County,3
Wisconsin,La Crosse County,3
New York,Broome County,3
Michigan,Iosco County,3
Massachusetts,Hampden County,3
Massachusetts,Hampshire County,3
Massachusetts,Bristol County,3
Massachusetts,Berkshire County,3
New Jersey,Union County,3
Michigan,Genesee County,3
Pennsylvania,Northampton County,3
Pennsylvania,Chester County,3
Michigan,Kalamazoo County,3
New Jersey,Ocean County,3
Maine,Franklin County,3
Wisconsin,Brown County,3
Michigan,Monroe County,3
Wisconsin,Dane County,3
New York,Kings County,2
New York,New York County,2
New York,Madison County,2
New York,Onondaga County,2
New York,Ontario County,2
New York,Hamilton County,2
New York,Essex County,2
New York,Jefferson County,2
Pennsylvania,Lebanon County,2
New York,Bronx County,2
Connecticut,Windham County,2
Pennsylvania,Philadelphia County,2
Rhode Island,Bristol County,2
Rhode Island,Kent County,2
Rhode Island,Providence County,2
New York,Orleans County,2
New Jersey,Hunterdon County,2
Pennsylvania,Monroe County,2
New Hampshire,Grafton County,2
Connecticut,Middlesex County,2
Connecticut,Litchfield County,2
Pennsylvania,Lancaster County,2
New Jersey,Cape May County,2
Pennsylvania,Cumberland County,2
New Jersey,Atlantic County,2
New York,Orange County,2
Pennsylvania,Berks County,2
New York,Queens County,2
Michigan,Clinton County,2
Minnesota,Pine County,2
Minnesota,Lyon County,2
Minnesota,Itasca County,2
Minnesota,Fillmore County,2
Minnesota,Carlton County,2
Michigan,Wexford County,2
Michigan,Sanilac County,2
Michigan,Roscommon County,2
Michigan,Ottawa County,2
Michigan,Midland County,2
Michigan,Marquette County,2
Michigan,Kent County,2
Michigan,Ingham County,2
Michigan,Houghton County,2
Michigan,Cass County,2
New York,Rensselaer County,2
Massachusetts,Suffolk County,2
Massachusetts,Plymouth County,2
Massachusetts,Franklin County,2
Massachusetts,Dukes County,2
Massachusetts,Barnstable County,2
Wisconsin,Iowa County,2
Wisconsin,Kenosha County,2
Wisconsin,Ozaukee County,2
Wisconsin,Racine County,2
Wisconsin,Waukesha County,2
Wisconsin,Winnebago County,2
Maine,Kennebec County,2
Maine,Piscataquis County,2
Maine,York County,2
Minnesota,Polk County,2
Minnesota,Rice County,2
Minnesota,St. Louis County,2
Minnesota,Stearns County,2
New York,Richmond County,2
New York,Rockland County,2
New York,Schenectady County,2
New York,Tioga County,2
New York,Tompkins County,2
Vermont,Addison County,2
Vermont,Chittenden County,2
Maine,Cumberland County,2
Vermont,Windham County,2
Vermont,Washington County,2
Vermont,Lamoille County,2
Indiana,Allen County,1
Illinois,DuPage County,1
Idaho,Kootenai County,1
Idaho,Latah County,1
Idaho,Lemhi County,1
Idaho,Lincoln County,1
Illinois,Kane County,1
Illinois,Jersey County,1
Illinois,Jackson County,1
Illinois,Cook County,1
Illinois,Will County,1
Illinois,Champaign County,1
Idaho,Twin Falls County,1
Idaho,Madison County,1
Indiana,Bartholomew County,1
Illinois,Lake County,1
Illinois,McHenry County,1
Illinois,McLean County,1
Illinois,Peoria County,1
Illinois,St. Clair County,1
Illinois,Tazewell County,1
Wyoming,Teton County,1
Indiana,Tippecanoe County,1
Indiana,Delaware County,1
Kentucky,Shelby County,1
Kansas,Pottawatomie County,1
Kansas,Riley County,1
Kansas,Sedgwick County,1
Kansas,Shawnee County,1
Kansas,Wyandotte County,1
Kentucky,Boone County,1
Kentucky,Fayette County,1
Kentucky,Jefferson County,1
Kentucky,Kenton County,1
Kentucky,Meade County,1
Louisiana,Caddo Parish,1
Indiana,Greene County,1
Louisiana,Catahoula Parish,1
Louisiana,East Baton Rouge Parish,1
Louisiana,Jefferson Parish,1
Louisiana,Lafayette Parish,1
Louisiana,Natchitoches Parish,1
Louisiana,Orleans Parish,1
Louisiana,Ouachita Parish,1
Louisiana,Tangipahoa Parish,1
Maryland,Anne Arundel County,1
Maryland,Baltimore County,1
Kansas,Osborne County,1
Kansas,Johnson County,1
Iowa,Wayne County,1
Iowa,Story County,1
Indiana,Hamilton County,1
Indiana,Jefferson County,1
Indiana,Knox County,1
Indiana,Lawrence County,1
Indiana,Madison County,1
Indiana,Marion County,1
Indiana,Monroe County,1
Indiana,Perry County,1
Indiana,St. Joseph County,1
Idaho,Boundary County,1
Indiana,Vanderburgh County,1
Indiana,Wayne County,1
Iowa,Dallas County,1
Iowa,Dubuque County,1
Iowa,Hamilton County,1
Iowa,Henry County,1
Iowa,Johnson County,1
Iowa,Linn County,1
Iowa,Lucas County,1
Iowa,Polk County,1
Iowa,Pottawattamie County,1
Idaho,Elmore County,1
Georgia,Douglas County,1
Idaho,Bonneville County,1
California,Lake County,1
California,Monterey County,1
California,Merced County,1
California,Mendocino County,1
California,Mariposa County,1
California,Marin County,1
California,Madera County,1
California,Los Angeles County,1
California,Lassen County,1
California,Kings County,1
Idaho,Blaine County,1
California,Kern County,1
California,Inyo County,1
California,Imperial County,1
California,Humboldt County,1
California,Glenn County,1
California,Fresno County,1
California,El Dorado County,1
California,Del Norte County,1
California,Napa County,1
California,Nevada County,1
California,Orange County,1
California,Placer County,1
California,Stanislaus County,1
California,Sonoma County,1
California,Solano County,1
California,Siskiyou County,1
California,Shasta County,1
California,Santa Cruz County,1
California,Santa Clara County,1
California,Santa Barbara County,1
California,San Mateo County,1
California,San Luis Obispo County,1
California,San Joaquin County,1
California,San Francisco County,1
California,San Diego County,1
California,San Bernardino County,1
California,San Benito County,1
California,Sacramento County,1
California,Riverside County,1
California,Contra Costa County,1
California,Colusa County,1
California,Calaveras County,1
Arizona,Coconino County,1
Arizona,Apache County,1
Alaska,Valdez-Cordova Census Area,1
Alaska,Matanuska-Susitna Borough,1
Alaska,Kodiak Island Borough,1
Alaska,Ketchikan Gateway Borough,1
Alaska,Juneau City and Borough,1
Alaska,Fairbanks North Star Borough,1
Alaska,Denali Borough,1
Alaska,Anchorage Municipality,1
Alaska,Aleutians West Census Area,1
Alabama,Pickens County,1
Alabama,Montgomery County,1
Alabama,Mobile County,1
Alabama,Marshall County,1
Alabama,Madison County,1
Alabama,Jefferson County,1
Alabama,Calhoun County,1
Arizona,Cochise County,1
Arizona,Gila County,1
California,Butte County,1
Arizona,Greenlee County,1
California,Amador County,1
Arkansas,Union County,1
Arkansas,Pulaski County,1
Arkansas,Perry County,1
Arkansas,Nevada County,1
Arkansas,Fulton County,1
Arkansas,Drew County,1
Arkansas,Crawford County,1
