Origin State,Origin County,Count
Michigan,Oakland County,8
Massachusetts,Middlesex County,7
New Jersey,Middlesex County,7
Minnesota,Hennepin County,6
New York,Westchester County,5
Wisconsin,Waukesha County,5
New York,Tompkins County,5
Pennsylvania,Chester County,5
Connecticut,Fairfield County,5
New Jersey,Hudson County,5
New Jersey,Bergen County,5
Pennsylvania,Allegheny County,5
New York,Nassau County,5
Michigan,Wayne County,5
New York,Onondaga County,4
Pennsylvania,Montgomery County,4
Massachusetts,Worcester County,4
New Jersey,Morris County,3
New York,Suffolk County,3
Michigan,Kalamazoo County,3
Minnesota,St. Louis County,3
Massachusetts,Hampden County,3
Minnesota,Dakota County,3
Michigan,Saginaw County,3
Connecticut,New Haven County,3
Michigan,Calhoun County,3
Rhode Island,Providence County,3
New York,Monroe County,3
Michigan,St. Clair County,3
Massachusetts,Suffolk County,3
New Hampshire,Hillsborough County,3
Pennsylvania,Berks County,3
Wisconsin,Dane County,3
Pennsylvania,Susquehanna County,2
Michigan,Barry County,2
Pennsylvania,Philadelphia County,2
Michigan,Genesee County,2
Pennsylvania,York County,2
Michigan,Hillsdale County,2
Michigan,Berrien County,2
Rhode Island,Newport County,2
Michigan,Clinton County,2
Michigan,Grand Traverse County,2
Minnesota,Koochiching County,2
Pennsylvania,Northampton County,2
Pennsylvania,Monroe County,2
Michigan,Macomb County,2
Michigan,Midland County,2
Michigan,Missaukee County,2
Michigan,Ottawa County,2
Michigan,Sanilac County,2
Michigan,Washtenaw County,2
Minnesota,Carver County,2
Minnesota,Clay County,2
Pennsylvania,Delaware County,2
Minnesota,Lyon County,2
Minnesota,Pennington County,2
Connecticut,Tolland County,2
Connecticut,New London County,2
Michigan,Alpena County,2
Minnesota,Washington County,2
Pennsylvania,Lackawanna County,2
Pennsylvania,Luzerne County,2
Minnesota,Rice County,2
New York,New York County,2
New York,Wayne County,2
New York,Richmond County,2
New Jersey,Hunterdon County,2
New Jersey,Essex County,2
New Jersey,Burlington County,2
New Jersey,Atlantic County,2
New Hampshire,Strafford County,2
New Hampshire,Grafton County,2
New Hampshire,Coos County,2
Pennsylvania,Cambria County,2
Pennsylvania,Bucks County,2
Pennsylvania,Bradford County,2
Maine,York County,2
Wisconsin,Brown County,2
Wisconsin,Columbia County,2
