Origin State,Count
Michigan,8
Massachusetts,7
New Jersey,7
Minnesota,6
Wisconsin,5
Pennsylvania,5
Connecticut,5
New York,5
New Hampshire,3
Rhode Island,3
Maine,2
Vermont,2
Louisiana,1
Iowa,1
Kentucky,1
Kansas,1
Maryland,1
Wyoming,1
Indiana,1
Illinois,1
Hawaii,1
Georgia,1
Florida,1
District of Columbia,1
Colorado,1
California,1
Arkansas,1
Arizona,1
Alaska,1
Idaho,1
Montana,1
Mississippi,1
Missouri,1
Washington,1
Virginia,1
Utah,1
Texas,1
Tennessee,1
South Dakota,1
South Carolina,1
STATE2_NAME,1
Puerto Rico,1
Oregon,1
Oklahoma,1
Ohio,1
North Dakota,1
North Carolina,1
New Mexico,1
Nevada,1
Nebraska,1
Alabama,1
