Origin State,Origin County,Count
Massachusetts,Norfolk County,7
Massachusetts,Middlesex County,7
Michigan,Macomb County,5
Minnesota,Hennepin County,4
Rhode Island,Providence County,4
Michigan,Jackson County,4
Michigan,Oakland County,4
Massachusetts,Essex County,4
Michigan,Washtenaw County,4
New Jersey,Mercer County,4
Pennsylvania,Erie County,4
Connecticut,New London County,4
New York,Ulster County,4
New York,Tompkins County,4
Michigan,Ingham County,3
Pennsylvania,Bucks County,3
Pennsylvania,Allegheny County,3
New York,Monroe County,3
Connecticut,New Haven County,3
New York,Washington County,3
New Jersey,Passaic County,3
New York,Westchester County,3
New Jersey,Middlesex County,3
Rhode Island,Kent County,3
New York,Dutchess County,3
Pennsylvania,Montgomery County,3
Massachusetts,Plymouth County,3
New York,New York County,2
New York,Jefferson County,2
New York,Kings County,2
Rhode Island,Bristol County,2
Connecticut,Hartford County,2
New York,Broome County,2
New York,Cattaraugus County,2
Pennsylvania,Lycoming County,2
New York,Onondaga County,2
Rhode Island,Newport County,2
New York,Orange County,2
New York,Queens County,2
New York,Rensselaer County,2
New York,Cayuga County,2
Pennsylvania,York County,2
New York,Ontario County,2
Pennsylvania,Centre County,2
Pennsylvania,Delaware County,2
New Jersey,Hunterdon County,2
New Jersey,Warren County,2
New Jersey,Union County,2
Pennsylvania,Northampton County,2
New York,Saratoga County,2
Pennsylvania,Philadelphia County,2
New York,Albany County,2
New Jersey,Essex County,2
Pennsylvania,Chester County,2
New Jersey,Camden County,2
New Jersey,Burlington County,2
New York,Bronx County,2
New Jersey,Bergen County,2
New Hampshire,Rockingham County,2
New Hampshire,Grafton County,2
New York,Richmond County,2
Pennsylvania,Washington County,2
New York,Steuben County,2
Massachusetts,Worcester County,2
New York,Tioga County,2
Michigan,Wayne County,2
Michigan,Roscommon County,2
Michigan,Mason County,2
Michigan,Lenawee County,2
Michigan,Kent County,2
Michigan,Kalamazoo County,2
Michigan,Benzie County,2
Massachusetts,Suffolk County,2
Minnesota,Carver County,2
Massachusetts,Hampshire County,2
Massachusetts,Bristol County,2
Wisconsin,Dane County,2
Wisconsin,Juneau County,2
Wisconsin,Kenosha County,2
Wisconsin,La Crosse County,2
Wisconsin,Milwaukee County,2
Wisconsin,St. Croix County,2
Minnesota,Blue Earth County,2
Michigan,Wexford County,2
Minnesota,Dakota County,2
Minnesota,St. Louis County,2
Minnesota,Stearns County,2
Wisconsin,Waukesha County,2
Pennsylvania,Union County,2
Vermont,Windham County,2
Vermont,Washington County,2
Vermont,Essex County,2
Vermont,Chittenden County,2
Minnesota,Ramsey County,2
Hawaii,Kauai County,1
Illinois,Jackson County,1
Illinois,DuPage County,1
Illinois,Cook County,1
