Origin State,Origin County,Count
Michigan,Oakland County,36
Massachusetts,Middlesex County,25
Michigan,Wayne County,24
Minnesota,Hennepin County,22
Pennsylvania,Allegheny County,21
Wisconsin,Dane County,20
Wisconsin,Waukesha County,20
Wisconsin,Walworth County,19
New Jersey,Bergen County,18
Wisconsin,Milwaukee County,17
Michigan,Berrien County,17
New York,Westchester County,17
Pennsylvania,Chester County,16
Michigan,Kent County,15
Connecticut,Fairfield County,15
Massachusetts,Norfolk County,14
Michigan,Washtenaw County,14
Michigan,Ottawa County,13
Connecticut,New Haven County,12
Michigan,Macomb County,12
Wisconsin,Kenosha County,11
Wisconsin,Sheboygan County,10
Michigan,Van Buren County,10
Wisconsin,Rock County,10
New York,Monroe County,10
Wisconsin,Jefferson County,10
Minnesota,Dakota County,10
Wisconsin,Door County,10
Wisconsin,Dodge County,10
Wisconsin,Adams County,10
Michigan,Allegan County,10
New Jersey,Middlesex County,9
Michigan,Cass County,9
Pennsylvania,Bucks County,9
Maine,Cumberland County,9
Connecticut,Hartford County,9
Minnesota,Ramsey County,9
Pennsylvania,Montgomery County,9
Michigan,Genesee County,8
New Jersey,Essex County,8
Massachusetts,Essex County,8
Minnesota,Washington County,8
Wisconsin,Winnebago County,8
New Jersey,Morris County,8
Wisconsin,Washington County,8
Michigan,Livingston County,8
Michigan,Leelanau County,8
Wisconsin,Juneau County,8
Massachusetts,Worcester County,8
Wisconsin,Sauk County,8
New York,Dutchess County,8
Wisconsin,Racine County,8
Pennsylvania,Delaware County,7
Massachusetts,Plymouth County,7
Michigan,Kalamazoo County,7
Wisconsin,Brown County,7
New Jersey,Hudson County,7
Massachusetts,Barnstable County,7
New Jersey,Union County,7
New York,Erie County,7
New Jersey,Somerset County,7
Wisconsin,St. Croix County,7
Michigan,Muskegon County,7
Wisconsin,Outagamie County,7
Wisconsin,Marquette County,7
Wisconsin,Vilas County,6
Michigan,Calhoun County,6
Wisconsin,Ozaukee County,6
Michigan,Grand Traverse County,6
Michigan,Ingham County,6
New Jersey,Passaic County,6
New Hampshire,Merrimack County,6
Wisconsin,Sawyer County,6
New Jersey,Monmouth County,6
Michigan,St. Clair County,6
Massachusetts,Berkshire County,6
Wisconsin,Grant County,6
Rhode Island,Providence County,6
Wisconsin,Fond du Lac County,6
New York,Nassau County,6
New Jersey,Camden County,6
Minnesota,St. Louis County,5
Minnesota,Stearns County,5
Massachusetts,Hampshire County,5
Michigan,Monroe County,5
New Hampshire,Grafton County,5
Pennsylvania,Washington County,5
Pennsylvania,Westmoreland County,5
New Jersey,Ocean County,5
Vermont,Windham County,5
Vermont,Chittenden County,5
Minnesota,Anoka County,5
Michigan,Newaygo County,5
Michigan,Charlevoix County,5
New York,Onondaga County,5
Wisconsin,Waushara County,5
Wisconsin,Eau Claire County,5
Wisconsin,Columbia County,5
Wisconsin,Lincoln County,5
Wisconsin,Manitowoc County,5
Wisconsin,Monroe County,5
New York,Suffolk County,5
Pennsylvania,Dauphin County,5
Massachusetts,Bristol County,4
New Hampshire,Hillsborough County,4
Minnesota,Goodhue County,4
New York,Albany County,4
New Jersey,Warren County,4
Pennsylvania,Erie County,4
New Hampshire,Rockingham County,4
Wisconsin,Portage County,4
Minnesota,Blue Earth County,4
Wisconsin,Polk County,4
Minnesota,Carver County,4
Michigan,Lapeer County,4
Minnesota,Olmsted County,4
New Jersey,Burlington County,4
Wisconsin,Marathon County,4
Michigan,St. Joseph County,4
Wisconsin,Douglas County,4
New Jersey,Mercer County,4
Wisconsin,Richland County,4
Minnesota,Houston County,4
Connecticut,New London County,4
Wisconsin,Washburn County,4
Pennsylvania,Northampton County,4
Wisconsin,Wood County,4
Pennsylvania,Union County,4
Minnesota,Scott County,4
Michigan,Benzie County,4
New York,Tompkins County,4
Wisconsin,Waupaca County,4
Michigan,Saginaw County,4
Michigan,Eaton County,4
Pennsylvania,York County,4
Pennsylvania,Lehigh County,4
New York,Genesee County,3
Pennsylvania,Centre County,3
Wisconsin,Iowa County,3
New York,Oneida County,3
Wisconsin,Jackson County,3
Minnesota,Winona County,3
Pennsylvania,Beaver County,3
Minnesota,Wabasha County,3
Wisconsin,La Crosse County,3
Wisconsin,Langlade County,3
New York,Livingston County,3
New York,Clinton County,3
Minnesota,Sherburne County,3
Pennsylvania,Butler County,3
Minnesota,Faribault County,3
Minnesota,Beltrami County,3
New York,Broome County,3
New York,Allegany County,3
Connecticut,Tolland County,3
Minnesota,Otter Tail County,3
Wisconsin,Green County,3
Connecticut,Middlesex County,3
Minnesota,Crow Wing County,3
New York,Herkimer County,3
Wisconsin,Shawano County,3
Wisconsin,Trempealeau County,3
Wisconsin,Rusk County,3
Wisconsin,Forest County,3
Vermont,Addison County,3
Pennsylvania,Warren County,3
Maine,York County,3
Vermont,Orange County,3
Vermont,Windsor County,3
Massachusetts,Suffolk County,3
Michigan,Iron County,3
Michigan,Ionia County,3
Pennsylvania,Mercer County,3
Michigan,Houghton County,3
Wisconsin,Ashland County,3
Michigan,Bay County,3
New York,Ulster County,3
Michigan,Gogebic County,3
Michigan,Dickinson County,3
Michigan,Delta County,3
Michigan,Clinton County,3
Pennsylvania,Lycoming County,3
Pennsylvania,Cumberland County,3
Pennsylvania,Luzerne County,3
New York,Rockland County,3
New Jersey,Gloucester County,3
Massachusetts,Hampden County,3
Michigan,Osceola County,3
Wisconsin,Bayfield County,3
Rhode Island,Kent County,3
Wisconsin,Chippewa County,3
Michigan,Marquette County,3
New Jersey,Cape May County,3
Michigan,Mecosta County,3
Michigan,Oceana County,3
Wisconsin,Crawford County,3
Wisconsin,Clark County,3
Pennsylvania,Schuylkill County,2
New York,New York County,2
Pennsylvania,Adams County,2
Pennsylvania,Venango County,2
New York,Jefferson County,2
New York,Kings County,2
New York,Madison County,2
Pennsylvania,Berks County,2
Pennsylvania,Armstrong County,2
Pennsylvania,Montour County,2
Pennsylvania,Northumberland County,2
Rhode Island,Washington County,2
New York,Cattaraugus County,2
New York,Ontario County,2
Pennsylvania,Franklin County,2
Rhode Island,Newport County,2
New Jersey,Hunterdon County,2
Rhode Island,Bristol County,2
Pennsylvania,Columbia County,2
Pennsylvania,Crawford County,2
Pennsylvania,Bradford County,2
New Hampshire,Strafford County,2
Pennsylvania,Blair County,2
Pennsylvania,Huntingdon County,2
New York,Greene County,2
Pennsylvania,Indiana County,2
New York,Bronx County,2
Pennsylvania,Lackawanna County,2
Pennsylvania,Philadelphia County,2
New York,Chautauqua County,2
New York,Chemung County,2
New Hampshire,Cheshire County,2
Pennsylvania,Lancaster County,2
Minnesota,Wright County,2
Minnesota,Becker County,2
New York,Orange County,2
Michigan,Sanilac County,2
Wisconsin,Marinette County,2
Wisconsin,Menominee County,2
New York,Otsego County,2
Michigan,Gratiot County,2
Michigan,Isabella County,2
Michigan,Jackson County,2
Vermont,Lamoille County,2
Vermont,Franklin County,2
Michigan,Kalkaska County,2
Michigan,Keweenaw County,2
Michigan,Lenawee County,2
Michigan,Manistee County,2
Michigan,Mason County,2
Michigan,Menominee County,2
Michigan,Midland County,2
Michigan,Montcalm County,2
Michigan,Ogemaw County,2
Michigan,Ontonagon County,2
New York,St. Lawrence County,2
Wisconsin,Calumet County,2
Wisconsin,Buffalo County,2
Wisconsin,Barron County,2
Michigan,Chippewa County,2
New York,Schenectady County,2
New York,Saratoga County,2
New York,Richmond County,2
Massachusetts,Franklin County,2
Michigan,Alcona County,2
Michigan,Alpena County,2
Michigan,Antrim County,2
Michigan,Branch County,2
Michigan,Emmet County,2
New York,Wyoming County,2
New York,Steuben County,2
New York,Warren County,2
Maine,Washington County,2
Maine,Penobscot County,2
Maine,Lincoln County,2
Maine,Knox County,2
Maine,Hancock County,2
Maine,Franklin County,2
Michigan,Otsego County,2
Michigan,Oscoda County,2
Michigan,Schoolcraft County,2
Minnesota,Freeborn County,2
Minnesota,Itasca County,2
Minnesota,Kandiyohi County,2
Minnesota,Koochiching County,2
Minnesota,Le Sueur County,2
Minnesota,Lincoln County,2
Minnesota,McLeod County,2
Minnesota,Morrison County,2
Minnesota,Pennington County,2
Minnesota,Pipestone County,2
Minnesota,Polk County,2
Minnesota,Rice County,2
Connecticut,Litchfield County,2
Minnesota,Rock County,2
Minnesota,Roseau County,2
Minnesota,Steele County,2
Minnesota,Wadena County,2
New York,Rensselaer County,2
New York,Queens County,2
New York,Putnam County,2
Michigan,Shiawassee County,2
New York,Seneca County,2
Michigan,Tuscola County,2
Minnesota,Aitkin County,2
Wisconsin,Oconto County,2
Minnesota,Benton County,2
Minnesota,Brown County,2
Minnesota,Cass County,2
Minnesota,Clay County,2
Minnesota,Dodge County,2
Wisconsin,Oneida County,2
Wisconsin,Price County,2
Iowa,Dallas County,1
Indiana,Lake County,1
Indiana,LaGrange County,1
Indiana,Kosciusko County,1
Indiana,Knox County,1
Indiana,Johnson County,1
Indiana,Jasper County,1
Iowa,Cerro Gordo County,1
Iowa,Clay County,1
Iowa,Clayton County,1
Iowa,Clinton County,1
Indiana,Marion County,1
Indiana,Madison County,1
Indiana,LaPorte County,1
Indiana,Ripley County,1
Iowa,Cass County,1
Iowa,Carroll County,1
Indiana,Marshall County,1
Indiana,Martin County,1
Indiana,Miami County,1
Indiana,Monroe County,1
Indiana,Montgomery County,1
Indiana,Morgan County,1
Indiana,Newton County,1
Indiana,Noble County,1
Indiana,Perry County,1
Indiana,Porter County,1
Indiana,Posey County,1
Indiana,Putnam County,1
Iowa,Des Moines County,1
Indiana,Shelby County,1
Indiana,St. Joseph County,1
Indiana,Starke County,1
Indiana,Steuben County,1
Indiana,Switzerland County,1
Indiana,Tippecanoe County,1
Indiana,Vanderburgh County,1
Indiana,Vigo County,1
Indiana,Warrick County,1
Indiana,Washington County,1
Indiana,Wayne County,1
Iowa,Allamakee County,1
Iowa,Black Hawk County,1
Iowa,Bremer County,1
Iowa,Buchanan County,1
Iowa,Buena Vista County,1
Iowa,Delaware County,1
Kentucky,Garrard County,1
Iowa,Dubuque County,1
Kentucky,Bourbon County,1
Kentucky,Hardin County,1
Kentucky,Graves County,1
Indiana,Huntington County,1
Kentucky,Franklin County,1
Kentucky,Floyd County,1
Kentucky,Fayette County,1
Kentucky,Daviess County,1
Kentucky,Clark County,1
Kentucky,Christian County,1
Kentucky,Campbell County,1
Kentucky,Bullitt County,1
Kentucky,Boone County,1
Kentucky,Jefferson County,1
Kentucky,Bell County,1
Kentucky,Barren County,1
Kansas,Wyandotte County,1
Kansas,Sherman County,1
Kansas,Shawnee County,1
Kansas,Seward County,1
Kansas,Sedgwick County,1
Kansas,Russell County,1
Kansas,Riley County,1
Kansas,Reno County,1
Kansas,Pottawatomie County,1
Kentucky,Harlan County,1
Kentucky,Jessamine County,1
Kansas,Lyon County,1
Kentucky,Union County,1
Louisiana,East Carroll Parish,1
Louisiana,East Baton Rouge Parish,1
Louisiana,Calcasieu Parish,1
Louisiana,Caddo Parish,1
Louisiana,Bossier Parish,1
Louisiana,Avoyelles Parish,1
Louisiana,Ascension Parish,1
Louisiana,Allen Parish,1
Louisiana,Acadia Parish,1
Kentucky,Webster County,1
Kentucky,Warren County,1
Kentucky,Trimble County,1
Kentucky,Kenton County,1
Kentucky,Trigg County,1
Kentucky,Taylor County,1
Kentucky,Scott County,1
Kentucky,Rowan County,1
Kentucky,Perry County,1
Kentucky,Oldham County,1
Kentucky,Montgomery County,1
Kentucky,McCreary County,1
Kentucky,McCracken County,1
Kentucky,Madison County,1
Kentucky,Logan County,1
Kansas,McPherson County,1
Kansas,Leavenworth County,1
Iowa,Emmet County,1
Iowa,Jefferson County,1
Iowa,Muscatine County,1
Iowa,Mitchell County,1
Iowa,Mills County,1
Iowa,Marshall County,1
Iowa,Marion County,1
Iowa,Lucas County,1
Iowa,Louisa County,1
Iowa,Linn County,1
Iowa,Lee County,1
Iowa,Jones County,1
Iowa,Johnson County,1
Iowa,Jasper County,1
Iowa,Pocahontas County,1
Iowa,Jackson County,1
Iowa,Iowa County,1
Iowa,Humboldt County,1
Iowa,Henry County,1
Iowa,Hardin County,1
Iowa,Hamilton County,1
Iowa,Guthrie County,1
Iowa,Grundy County,1
Iowa,Franklin County,1
Iowa,Floyd County,1
Iowa,Fayette County,1
Iowa,Plymouth County,1
Iowa,Polk County,1
Kansas,Johnson County,1
Iowa,Woodbury County,1
Kansas,Harvey County,1
Kansas,Geary County,1
Kansas,Ford County,1
Kansas,Finney County,1
Kansas,Ellsworth County,1
Kansas,Ellis County,1
Kansas,Douglas County,1
Kansas,Butler County,1
Kansas,Atchison County,1
Iowa,Wright County,1
Iowa,Worth County,1
Iowa,Winnebago County,1
Iowa,Pottawattamie County,1
Iowa,Webster County,1
Iowa,Washington County,1
Iowa,Warren County,1
Iowa,Wapello County,1
Iowa,Van Buren County,1
Iowa,Taylor County,1
Iowa,Story County,1
Iowa,Sioux County,1
Iowa,Scott County,1
Iowa,Ringgold County,1
Iowa,Poweshiek County,1
Indiana,Jackson County,1
Illinois,McHenry County,1
Indiana,Howard County,1
Colorado,Denver County,1
California,Tulare County,1
California,Ventura County,1
California,Yolo County,1
Colorado,Adams County,1
Colorado,Arapahoe County,1
Colorado,Boulder County,1
Colorado,Broomfield County,1
Colorado,Chaffee County,1
Colorado,Douglas County,1
California,Stanislaus County,1
Colorado,Eagle County,1
Colorado,El Paso County,1
Colorado,Garfield County,1
Colorado,Gilpin County,1
Colorado,Grand County,1
Colorado,Gunnison County,1
Colorado,Jefferson County,1
Colorado,La Plata County,1
California,Tehama County,1
California,Sonoma County,1
Colorado,Mesa County,1
California,Sacramento County,1
California,Mendocino County,1
California,Merced County,1
California,Monterey County,1
California,Napa County,1
California,Orange County,1
California,Placer County,1
California,Plumas County,1
California,Riverside County,1
California,San Bernardino County,1
California,Solano County,1
California,San Diego County,1
California,San Francisco County,1
California,San Joaquin County,1
California,San Mateo County,1
California,Santa Barbara County,1
California,Santa Clara County,1
California,Santa Cruz County,1
California,Siskiyou County,1
Colorado,Larimer County,1
Colorado,Morgan County,1
California,Marin County,1
Florida,Martin County,1
Florida,Hillsborough County,1
Florida,Indian River County,1
Florida,Jackson County,1
Florida,Lake County,1
Florida,Lee County,1
Florida,Leon County,1
Florida,Manatee County,1
Florida,Marion County,1
Florida,Miami-Dade County,1
Florida,Hernando County,1
Florida,Monroe County,1
Florida,Nassau County,1
Florida,Okaloosa County,1
Florida,Orange County,1
Florida,Osceola County,1
Florida,Palm Beach County,1
Florida,Pasco County,1
Florida,Pinellas County,1
Florida,Highlands County,1
Florida,Escambia County,1
Colorado,Pitkin County,1
District of Columbia,District of Columbia,1
Colorado,Pueblo County,1
Colorado,Routt County,1
Colorado,San Miguel County,1
Colorado,Summit County,1
Colorado,Washington County,1
Colorado,Weld County,1
Delaware,Kent County,1
Delaware,New Castle County,1
Florida,Alachua County,1
Florida,Duval County,1
Florida,Bay County,1
Florida,Brevard County,1
Florida,Broward County,1
Florida,Charlotte County,1
Florida,Citrus County,1
Florida,Clay County,1
Florida,Collier County,1
Florida,Columbia County,1
California,Mariposa County,1
California,Madera County,1
Indiana,Henry County,1
Alaska,Kusilvak Census Area,1
Alabama,Tuscaloosa County,1
Alaska,Aleutians East Borough,1
Alaska,Anchorage Municipality,1
Alaska,Dillingham Census Area,1
Alaska,Fairbanks North Star Borough,1
Alaska,Juneau City and Borough,1
Alaska,Ketchikan Gateway Borough,1
Alaska,Kodiak Island Borough,1
Arizona,Apache County,1
Alabama,Shelby County,1
Arizona,Cochise County,1
Arizona,Coconino County,1
Arizona,Graham County,1
Arizona,Greenlee County,1
Arizona,Maricopa County,1
Arizona,Mohave County,1
Arizona,Pima County,1
Arizona,Pinal County,1
Alabama,Sumter County,1
Alabama,Russell County,1
Arizona,Yuma County,1
Alabama,Jefferson County,1
Alabama,Baldwin County,1
Alabama,Butler County,1
Alabama,Chambers County,1
Alabama,Coffee County,1
Alabama,Conecuh County,1
Alabama,Dallas County,1
Alabama,Elmore County,1
Alabama,Hale County,1
Alabama,Lamar County,1
Alabama,Perry County,1
Alabama,Lauderdale County,1
Alabama,Lee County,1
Alabama,Macon County,1
Alabama,Madison County,1
Alabama,Marshall County,1
Alabama,Mobile County,1
Alabama,Montgomery County,1
Alabama,Morgan County,1
Arizona,Yavapai County,1
Arkansas,Baxter County,1
California,Los Angeles County,1
Arkansas,Yell County,1
Arkansas,Pope County,1
Arkansas,Pulaski County,1
Arkansas,Sebastian County,1
Arkansas,Sharp County,1
Arkansas,St. Francis County,1
Arkansas,Van Buren County,1
Arkansas,Washington County,1
Arkansas,White County,1
California,Alameda County,1
Arkansas,Phillips County,1
California,Butte County,1
California,Contra Costa County,1
California,El Dorado County,1
California,Fresno County,1
California,Glenn County,1
California,Imperial County,1
California,Kern County,1
California,Kings County,1
Arkansas,Poinsett County,1
Arkansas,Ouachita County,1
Arkansas,Benton County,1
Arkansas,Hot Spring County,1
Arkansas,Boone County,1
Arkansas,Chicot County,1
Arkansas,Clark County,1
Arkansas,Craighead County,1
Arkansas,Crittenden County,1
Arkansas,Dallas County,1
Arkansas,Faulkner County,1
Arkansas,Garland County,1
Arkansas,Independence County,1
Arkansas,Nevada County,1
Arkansas,Jackson County,1
Arkansas,Jefferson County,1
Arkansas,Lafayette County,1
Arkansas,Lee County,1
Arkansas,Logan County,1
Arkansas,Lonoke County,1
Arkansas,Marion County,1
Arkansas,Mississippi County,1
Florida,Polk County,1
Florida,Santa Rosa County,1
Florida,Sarasota County,1
Illinois,Mercer County,1
Illinois,Marion County,1
Illinois,Marshall County,1
Illinois,Mason County,1
Illinois,Massac County,1
Illinois,McDonough County,1
Louisiana,Jackson Parish,1
Illinois,McLean County,1
Illinois,Menard County,1
Illinois,Monroe County,1
Illinois,Macoupin County,1
Illinois,Montgomery County,1
Illinois,Morgan County,1
Illinois,Moultrie County,1
Illinois,Ogle County,1
Illinois,Peoria County,1
Illinois,Perry County,1
Illinois,Piatt County,1
Illinois,Pike County,1
Illinois,Madison County,1
Illinois,Macon County,1
Illinois,Pulaski County,1
Illinois,Johnson County,1
Illinois,Henderson County,1
Illinois,Henry County,1
Illinois,Iroquois County,1
Illinois,Jackson County,1
Illinois,Jasper County,1
Illinois,Jefferson County,1
Illinois,Jersey County,1
Illinois,Jo Daviess County,1
Illinois,Kane County,1
Illinois,Logan County,1
Illinois,Kankakee County,1
Illinois,Kendall County,1
Illinois,Knox County,1
Illinois,LaSalle County,1
Illinois,Lake County,1
Illinois,Lawrence County,1
Illinois,Lee County,1
Illinois,Livingston County,1
Illinois,Pope County,1
Illinois,Putnam County,1
Florida,Seminole County,1
Indiana,Decatur County,1
Indiana,Adams County,1
Indiana,Allen County,1
Indiana,Bartholomew County,1
Indiana,Benton County,1
Indiana,Boone County,1
Indiana,Cass County,1
Indiana,Clark County,1
Indiana,Clay County,1
Indiana,Delaware County,1
Illinois,Winnebago County,1
Indiana,Elkhart County,1
Indiana,Fayette County,1
Indiana,Floyd County,1
Indiana,Grant County,1
Indiana,Hamilton County,1
Indiana,Hancock County,1
Indiana,Harrison County,1
Indiana,Hendricks County,1
Illinois,Woodford County,1
Illinois,Williamson County,1
Illinois,Randolph County,1
Illinois,Stephenson County,1
Illinois,Richland County,1
Illinois,Rock Island County,1
Illinois,Saline County,1
Illinois,Sangamon County,1
Illinois,Schuyler County,1
Illinois,Shelby County,1
Illinois,St. Clair County,1
Illinois,Stark County,1
Illinois,Tazewell County,1
Illinois,Will County,1
