Origin State,Origin County,Count
Pennsylvania,Delaware County,9
New York,Jefferson County,8
Pennsylvania,York County,7
Pennsylvania,Allegheny County,6
Michigan,Wayne County,6
Minnesota,Dakota County,5
Michigan,Oakland County,5
Pennsylvania,Luzerne County,5
New Hampshire,Hillsborough County,5
New York,Monroe County,5
Pennsylvania,Monroe County,5
Connecticut,Fairfield County,4
Connecticut,New Haven County,4
New York,Otsego County,4
New Jersey,Bergen County,4
Pennsylvania,Westmoreland County,4
Massachusetts,Worcester County,4
Massachusetts,Middlesex County,4
New York,Albany County,3
New Jersey,Burlington County,3
New Jersey,Essex County,3
Pennsylvania,Bucks County,3
Pennsylvania,Cambria County,3
New York,Cayuga County,3
Connecticut,Hartford County,3
Michigan,Ionia County,3
Massachusetts,Norfolk County,3
Pennsylvania,Dauphin County,3
Massachusetts,Essex County,3
Minnesota,Chisago County,3
New York,Erie County,3
New York,Steuben County,3
Pennsylvania,Somerset County,3
New York,Nassau County,3
Pennsylvania,Northumberland County,3
Wisconsin,Langlade County,3
Rhode Island,Washington County,3
Wisconsin,Dane County,3
Vermont,Orleans County,3
Pennsylvania,Huntingdon County,3
Pennsylvania,Erie County,3
Massachusetts,Hampshire County,3
New York,Schenectady County,2
Connecticut,Litchfield County,2
Michigan,Berrien County,2
New York,Richmond County,2
New York,Queens County,2
Michigan,Calhoun County,2
Michigan,Baraga County,2
New York,Seneca County,2
Michigan,Allegan County,2
New York,Sullivan County,2
New York,Putnam County,2
Massachusetts,Suffolk County,2
New York,Wyoming County,2
Pennsylvania,Philadelphia County,2
New York,Suffolk County,2
Maine,Androscoggin County,2
Maine,York County,2
Maine,Washington County,2
Pennsylvania,Snyder County,2
Pennsylvania,Susquehanna County,2
Pennsylvania,Wayne County,2
Pennsylvania,Northampton County,2
Pennsylvania,Montgomery County,2
Pennsylvania,Mercer County,2
Pennsylvania,Lycoming County,2
Pennsylvania,Lehigh County,2
Pennsylvania,Lancaster County,2
Pennsylvania,Jefferson County,2
Pennsylvania,Franklin County,2
Rhode Island,Newport County,2
Rhode Island,Providence County,2
Pennsylvania,Elk County,2
Pennsylvania,Cumberland County,2
Pennsylvania,Clinton County,2
Pennsylvania,Clearfield County,2
Pennsylvania,Chester County,2
Pennsylvania,Centre County,2
Pennsylvania,Bradford County,2
Pennsylvania,Beaver County,2
New York,Ontario County,2
Maine,Cumberland County,2
Maine,Kennebec County,2
Maine,Knox County,2
Maine,Lincoln County,2
Maine,Sagadahoc County,2
New York,Orange County,2
New York,Bronx County,2
New York,Onondaga County,2
Minnesota,Anoka County,2
Michigan,Saginaw County,2
Michigan,Newaygo County,2
Michigan,Montmorency County,2
Michigan,Macomb County,2
Michigan,Mackinac County,2
Michigan,Lenawee County,2
New Hampshire,Belknap County,2
New Hampshire,Grafton County,2
New Hampshire,Merrimack County,2
New York,Oneida County,2
New Hampshire,Strafford County,2
New Hampshire,Sullivan County,2
New Jersey,Cumberland County,2
New Jersey,Gloucester County,2
New Jersey,Hudson County,2
Michigan,Washtenaw County,2
Minnesota,Blue Earth County,2
New Jersey,Monmouth County,2
Minnesota,Faribault County,2
Wisconsin,Winnebago County,2
Wisconsin,Waukesha County,2
Wisconsin,Taylor County,2
Wisconsin,Sheboygan County,2
Wisconsin,Sawyer County,2
Wisconsin,Richland County,2
Wisconsin,Portage County,2
Wisconsin,La Crosse County,2
Wisconsin,Juneau County,2
Wisconsin,Green County,2
Wisconsin,Dodge County,2
Wisconsin,Barron County,2
Minnesota,Winona County,2
Minnesota,Pine County,2
Minnesota,Otter Tail County,2
New Jersey,Hunterdon County,2
Pennsylvania,Schuylkill County,2
New Jersey,Passaic County,2
New York,Chemung County,2
Michigan,Lake County,2
Michigan,Kent County,2
Michigan,Ingham County,2
Michigan,Gratiot County,2
Michigan,Genesee County,2
Michigan,Emmet County,2
New York,Broome County,2
New York,Cattaraugus County,2
New York,Chautauqua County,2
New York,Clinton County,2
New Jersey,Sussex County,2
New York,Cortland County,2
New York,Herkimer County,2
Vermont,Chittenden County,2
Vermont,Addison County,2
New York,Kings County,2
New York,Lewis County,2
New York,Livingston County,2
New York,Montgomery County,2
New York,New York County,2
Michigan,Lapeer County,2
Michigan,Kalamazoo County,2
Illinois,Winnebago County,1
Indiana,Gibson County,1
Indiana,Lake County,1
Indiana,LaGrange County,1
Indiana,Johnson County,1
Indiana,Henry County,1
Indiana,Orange County,1
Indiana,Randolph County,1
Indiana,Hendricks County,1
Indiana,Vanderburgh County,1
Indiana,Vigo County,1
Indiana,Wayne County,1
Iowa,Black Hawk County,1
Iowa,Henry County,1
Illinois,Massac County,1
Illinois,McHenry County,1
Illinois,McLean County,1
Illinois,Morgan County,1
Illinois,St. Clair County,1
Illinois,Tazewell County,1
Illinois,Will County,1
Iowa,Johnson County,1
Iowa,Linn County,1
Iowa,Osceola County,1
Iowa,Polk County,1
Indiana,Harrison County,1
Indiana,Hancock County,1
Indiana,Marion County,1
Indiana,Hamilton County,1
Indiana,St. Joseph County,1
Maryland,Frederick County,1
Iowa,Pottawattamie County,1
Louisiana,East Baton Rouge Parish,1
Louisiana,Jefferson Parish,1
Louisiana,Madison Parish,1
Louisiana,Orleans Parish,1
Louisiana,Pointe Coupee Parish,1
Louisiana,Terrebonne Parish,1
Louisiana,Vernon Parish,1
Louisiana,West Carroll Parish,1
Maryland,Anne Arundel County,1
Maryland,Baltimore County,1
Maryland,Baltimore city,1
Maryland,Calvert County,1
Maryland,Carroll County,1
Illinois,Lake County,1
Maryland,Harford County,1
Maryland,Howard County,1
Maryland,Montgomery County,1
Maryland,Prince George's County,1
Maryland,St. Mary's County,1
Mississippi,Attala County,1
Mississippi,Coahoma County,1
Mississippi,DeSoto County,1
Mississippi,Harrison County,1
Mississippi,Jackson County,1
Mississippi,Jasper County,1
Mississippi,Lee County,1
Louisiana,Jefferson Davis Parish,1
Louisiana,Caddo Parish,1
Iowa,Scott County,1
Louisiana,Bossier Parish,1
Kansas,Crawford County,1
Kansas,Douglas County,1
Kansas,Geary County,1
Kansas,Johnson County,1
Kansas,Leavenworth County,1
Kansas,Morris County,1
Kansas,Riley County,1
Kansas,Sedgwick County,1
Kansas,Shawnee County,1
Kansas,Stanton County,1
Kansas,Wyandotte County,1
Kentucky,Bourbon County,1
Kentucky,Calloway County,1
Kentucky,Carlisle County,1
Kentucky,Christian County,1
Kentucky,Clark County,1
Kentucky,Daviess County,1
Kentucky,Fayette County,1
Kentucky,Hardin County,1
Kentucky,Jefferson County,1
Kentucky,Jessamine County,1
Kentucky,Kenton County,1
Kentucky,Madison County,1
Kentucky,Trigg County,1
Louisiana,Beauregard Parish,1
Illinois,Marshall County,1
Georgia,Liberty County,1
Illinois,LaSalle County,1
California,Tehama County,1
California,Santa Clara County,1
California,San Mateo County,1
California,San Luis Obispo County,1
California,San Francisco County,1
California,San Diego County,1
California,San Bernardino County,1
California,Sacramento County,1
California,Riverside County,1
California,Placer County,1
California,Orange County,1
California,Monterey County,1
California,Modoc County,1
California,Los Angeles County,1
California,Lassen County,1
California,Kern County,1
California,Inyo County,1
California,Fresno County,1
California,El Dorado County,1
California,Del Norte County,1
California,Santa Cruz County,1
California,Tuolumne County,1
Florida,Brevard County,1
California,Ventura County,1
Florida,Bay County,1
Florida,Alachua County,1
District of Columbia,District of Columbia,1
Delaware,Sussex County,1
Delaware,New Castle County,1
Delaware,Kent County,1
Colorado,Weld County,1
Colorado,Pueblo County,1
Colorado,Phillips County,1
Colorado,Montezuma County,1
Colorado,Mesa County,1
Colorado,Larimer County,1
Colorado,La Plata County,1
Colorado,Fremont County,1
Colorado,El Paso County,1
Colorado,Denver County,1
Colorado,Boulder County,1
Colorado,Arapahoe County,1
Colorado,Alamosa County,1
California,Contra Costa County,1
California,Butte County,1
California,Alameda County,1
Arkansas,Washington County,1
Alabama,Tuscaloosa County,1
Alabama,Tallapoosa County,1
Alabama,St. Clair County,1
Alabama,Shelby County,1
Alabama,Russell County,1
Alabama,Montgomery County,1
Alabama,Mobile County,1
Alabama,Madison County,1
Alabama,Lee County,1
Alabama,Lawrence County,1
Alabama,Jefferson County,1
Alabama,Houston County,1
Alabama,Franklin County,1
Alabama,Etowah County,1
Alabama,Elmore County,1
Alabama,DeKalb County,1
Alabama,Dale County,1
Alabama,Coffee County,1
Alabama,Blount County,1
Alabama,Walker County,1
Alaska,Anchorage Municipality,1
Alaska,Bethel Census Area,1
Arizona,Yavapai County,1
Arkansas,Stone County,1
Arkansas,Saline County,1
Arkansas,Pulaski County,1
Arkansas,Lonoke County,1
Arkansas,Lee County,1
Arkansas,Faulkner County,1
Arkansas,Benton County,1
Arizona,Yuma County,1
Arizona,Pinal County,1
Alaska,Fairbanks North Star Borough,1
Arizona,Pima County,1
Arizona,Mohave County,1
Arizona,Maricopa County,1
Arizona,Cochise County,1
