Origin State,Origin County,Count
Wyoming,Washakie County,1
Michigan,Saginaw County,1
Massachusetts,Barnstable County,1
Maryland,Prince George's County,1
Maryland,Montgomery County,1
Maryland,Howard County,1
Maryland,Frederick County,1
Maryland,Baltimore city,1
Maryland,Baltimore County,1
Maryland,Anne Arundel County,1
Maine,York County,1
Maine,Sagadahoc County,1
Maine,Penobscot County,1
Maine,Knox County,1
Maine,Kennebec County,1
Maine,Cumberland County,1
Maine,Androscoggin County,1
Louisiana,Winn Parish,1
Louisiana,West Feliciana Parish,1
Louisiana,West Carroll Parish,1
Louisiana,West Baton Rouge Parish,1
Louisiana,St. Tammany Parish,1
Louisiana,St. Landry Parish,1
Louisiana,St. James Parish,1
Louisiana,St. Charles Parish,1
Massachusetts,Berkshire County,1
Massachusetts,Bristol County,1
Massachusetts,Essex County,1
Michigan,Genesee County,1
Michigan,Muskegon County,1
Michigan,Midland County,1
Michigan,Marquette County,1
Michigan,Livingston County,1
Michigan,Kent County,1
Michigan,Kalamazoo County,1
Michigan,Ingham County,1
Michigan,Houghton County,1
Michigan,Hillsdale County,1
Michigan,Gogebic County,1
Michigan,Emmet County,1
Massachusetts,Hampden County,1
Michigan,Cheboygan County,1
Michigan,Charlevoix County,1
Michigan,Calhoun County,1
Michigan,Berrien County,1
Michigan,Bay County,1
Massachusetts,Worcester County,1
Massachusetts,Suffolk County,1
Massachusetts,Norfolk County,1
Massachusetts,Middlesex County,1
Massachusetts,Hampshire County,1
Louisiana,Ouachita Parish,1
Louisiana,Orleans Parish,1
Louisiana,Jefferson Parish,1
Iowa,Linn County,1
Iowa,Scott County,1
Iowa,Poweshiek County,1
Iowa,Polk County,1
Iowa,Pocahontas County,1
Iowa,Plymouth County,1
Iowa,Monroe County,1
Iowa,Marshall County,1
Iowa,Marion County,1
Iowa,Madison County,1
Iowa,Lyon County,1
Iowa,Lee County,1
Iowa,Wapello County,1
Iowa,Kossuth County,1
Iowa,Johnson County,1
Iowa,Jasper County,1
Iowa,Iowa County,1
Iowa,Hancock County,1
Iowa,Hamilton County,1
Iowa,Greene County,1
Iowa,Franklin County,1
Iowa,Emmet County,1
Iowa,Dubuque County,1
Iowa,Story County,1
Iowa,Warren County,1
Louisiana,East Baton Rouge Parish,1
Kentucky,Calloway County,1
Louisiana,De Soto Parish,1
Louisiana,Calcasieu Parish,1
Louisiana,Bossier Parish,1
Louisiana,Ascension Parish,1
Kentucky,Scott County,1
Kentucky,Jefferson County,1
Kentucky,Hardin County,1
Kentucky,Graves County,1
Kentucky,Fayette County,1
Kentucky,Campbell County,1
Kansas,Wabaunsee County,1
Iowa,Winnebago County,1
Kansas,Sedgwick County,1
Kansas,Riley County,1
Kansas,Pottawatomie County,1
Kansas,Leavenworth County,1
Kansas,Johnson County,1
Kansas,Finney County,1
Kansas,Douglas County,1
Kansas,Atchison County,1
Iowa,Woodbury County,1
Iowa,Winneshiek County,1
Michigan,Oakland County,1
Michigan,Schoolcraft County,1
Wyoming,Teton County,1
Michigan,St. Clair County,1
Minnesota,Stevens County,1
Minnesota,Steele County,1
Minnesota,Stearns County,1
Minnesota,St. Louis County,1
Minnesota,Sibley County,1
Minnesota,Sherburne County,1
Minnesota,Scott County,1
Minnesota,Roseau County,1
Minnesota,Rock County,1
Minnesota,Rice County,1
Minnesota,Renville County,1
Minnesota,Redwood County,1
Minnesota,Red Lake County,1
Minnesota,Ramsey County,1
Minnesota,Pope County,1
Minnesota,Polk County,1
Minnesota,Pipestone County,1
Minnesota,Pine County,1
Minnesota,Pennington County,1
Minnesota,Otter Tail County,1
Minnesota,Olmsted County,1
Minnesota,Norman County,1
Minnesota,Nobles County,1
Minnesota,Swift County,1
Minnesota,Todd County,1
Minnesota,Traverse County,1
Mississippi,Oktibbeha County,1
Missouri,Cape Girardeau County,1
Missouri,Buchanan County,1
Missouri,Boone County,1
Missouri,Audrain County,1
Missouri,Andrew County,1
Missouri,Adair County,1
Mississippi,Warren County,1
Mississippi,Sunflower County,1
Mississippi,Scott County,1
Mississippi,Quitman County,1
Mississippi,Lincoln County,1
Minnesota,Wabasha County,1
Mississippi,Hinds County,1
Mississippi,Harrison County,1
Minnesota,Yellow Medicine County,1
Minnesota,Wright County,1
Minnesota,Winona County,1
Minnesota,Wilkin County,1
Minnesota,Watonwan County,1
Minnesota,Washington County,1
Minnesota,Waseca County,1
Minnesota,Wadena County,1
Minnesota,Nicollet County,1
Minnesota,Murray County,1
Minnesota,Mower County,1
Minnesota,Carver County,1
Minnesota,Dodge County,1
Minnesota,Dakota County,1
Minnesota,Crow Wing County,1
Minnesota,Cottonwood County,1
Minnesota,Cook County,1
Minnesota,Clearwater County,1
Minnesota,Clay County,1
Minnesota,Chisago County,1
Minnesota,Chippewa County,1
Minnesota,Cass County,1
Minnesota,Carlton County,1
Minnesota,Faribault County,1
Minnesota,Brown County,1
Minnesota,Blue Earth County,1
Minnesota,Big Stone County,1
Minnesota,Benton County,1
Minnesota,Beltrami County,1
Minnesota,Becker County,1
Minnesota,Anoka County,1
Minnesota,Aitkin County,1
Michigan,Wayne County,1
Michigan,Washtenaw County,1
Minnesota,Douglas County,1
Minnesota,Fillmore County,1
Minnesota,Morrison County,1
Minnesota,Lake County,1
Minnesota,Mille Lacs County,1
Minnesota,Meeker County,1
Minnesota,McLeod County,1
Minnesota,Martin County,1
Minnesota,Marshall County,1
Minnesota,Mahnomen County,1
Minnesota,Lyon County,1
Minnesota,Lincoln County,1
Minnesota,Le Sueur County,1
Minnesota,Lake of the Woods County,1
Minnesota,Lac qui Parle County,1
Minnesota,Freeborn County,1
Minnesota,Koochiching County,1
Minnesota,Kandiyohi County,1
Minnesota,Kanabec County,1
Minnesota,Jackson County,1
Minnesota,Itasca County,1
Minnesota,Isanti County,1
