Origin State,Origin County,Count
Minnesota,Stearns County,4
Pennsylvania,Beaver County,4
Minnesota,Hennepin County,4
Massachusetts,Middlesex County,4
New York,Suffolk County,3
Wisconsin,Milwaukee County,3
New York,Oneida County,3
Michigan,Mecosta County,2
Michigan,Oakland County,2
Minnesota,Anoka County,2
Minnesota,Dakota County,2
New Hampshire,Hillsborough County,2
New Jersey,Burlington County,2
Michigan,Kent County,2
New Hampshire,Grafton County,2
Minnesota,Kandiyohi County,2
Minnesota,Polk County,2
Vermont,Rutland County,2
Pennsylvania,Somerset County,2
Michigan,Jackson County,2
Michigan,Iron County,2
Minnesota,Waseca County,2
Connecticut,Fairfield County,2
New York,Kings County,2
New York,Monroe County,2
New York,Nassau County,2
New York,New York County,2
New York,Queens County,2
New York,Rensselaer County,2
New York,Saratoga County,2
Massachusetts,Suffolk County,2
Michigan,Washtenaw County,2
Wisconsin,Green Lake County,2
Pennsylvania,Schuylkill County,2
Pennsylvania,Armstrong County,2
Wisconsin,Walworth County,2
Wisconsin,Ozaukee County,2
Wisconsin,Iowa County,2
Wisconsin,Dane County,2
Wisconsin,Brown County,2
Pennsylvania,Chester County,2
Pennsylvania,Luzerne County,2
Pennsylvania,Philadelphia County,2
Pennsylvania,Washington County,2
Pennsylvania,Allegheny County,2
Illinois,Sangamon County,1
Kansas,Johnson County,1
Kansas,Finney County,1
Iowa,Poweshiek County,1
Iowa,Polk County,1
Idaho,Lewis County,1
Iowa,Linn County,1
Iowa,Chickasaw County,1
Indiana,Marion County,1
Idaho,Madison County,1
Illinois,St. Clair County,1
Idaho,Payette County,1
Indiana,Howard County,1
Indiana,Allen County,1
Illinois,Winnebago County,1
Illinois,Boone County,1
Idaho,Kootenai County,1
Illinois,Cook County,1
Illinois,Lake County,1
Illinois,Marion County,1
Idaho,Nez Perce County,1
Idaho,Caribou County,1
Idaho,Clearwater County,1
Georgia,Gwinnett County,1
Idaho,Canyon County,1
Idaho,Camas County,1
Idaho,Boundary County,1
Hawaii,Maui County,1
Hawaii,Kauai County,1
Hawaii,Honolulu County,1
Georgia,Muscogee County,1
Georgia,Houston County,1
Georgia,Forsyth County,1
Idaho,Idaho County,1
Kansas,Osage County,1
Georgia,Cobb County,1
Georgia,Ben Hill County,1
Florida,Volusia County,1
Florida,St. Johns County,1
Florida,Seminole County,1
Idaho,Fremont County,1
Idaho,Gem County,1
Kansas,Nemaha County,1
Louisiana,Webster Parish,1
Kansas,Pottawatomie County,1
Kansas,Reno County,1
Mississippi,Hancock County,1
Mississippi,Harrison County,1
Mississippi,Hinds County,1
Mississippi,Jackson County,1
Mississippi,Monroe County,1
Mississippi,Rankin County,1
Mississippi,Tallahatchie County,1
Mississippi,Walthall County,1
Mississippi,Warren County,1
Missouri,Boone County,1
Missouri,Cass County,1
Missouri,Christian County,1
Missouri,Clay County,1
Missouri,Cole County,1
Missouri,Crawford County,1
Missouri,Howard County,1
Missouri,Jackson County,1
Missouri,Jasper County,1
Missouri,Jefferson County,1
Missouri,Johnson County,1
Missouri,Lincoln County,1
Missouri,Newton County,1
Missouri,Pettis County,1
Mississippi,Greene County,1
Mississippi,DeSoto County,1
Maryland,St. Mary's County,1
Louisiana,Jefferson Parish,1
Kansas,Sedgwick County,1
Kansas,Sheridan County,1
