Origin State,Origin County,Count
Massachusetts,Middlesex County,18
Michigan,Oakland County,16
New Jersey,Bergen County,14
Pennsylvania,Montgomery County,11
Minnesota,Hennepin County,11
Massachusetts,Essex County,9
New Jersey,Middlesex County,9
Massachusetts,Worcester County,8
Massachusetts,Norfolk County,8
Connecticut,Hartford County,8
Connecticut,Fairfield County,7
New York,Monroe County,7
Michigan,Wayne County,7
Michigan,Kalamazoo County,6
New York,Suffolk County,6
Connecticut,New Haven County,6
Wisconsin,Waukesha County,6
Wisconsin,Milwaukee County,6
Rhode Island,Providence County,6
Minnesota,Dakota County,6
Massachusetts,Hampden County,6
Massachusetts,Plymouth County,6
Michigan,Kent County,6
New Jersey,Union County,5
Michigan,Ingham County,5
Vermont,Windham County,5
New Jersey,Mercer County,5
New Hampshire,Rockingham County,5
Pennsylvania,Allegheny County,5
New Jersey,Morris County,5
New Jersey,Monmouth County,5
Pennsylvania,Delaware County,5
Pennsylvania,Chester County,4
New York,Erie County,4
New York,Jefferson County,4
Minnesota,Washington County,4
Minnesota,Wright County,4
New York,Nassau County,4
New York,Tompkins County,4
Michigan,Grand Traverse County,4
Minnesota,Olmsted County,4
Massachusetts,Hampshire County,4
New Hampshire,Hillsborough County,4
New York,Ontario County,4
New Hampshire,Grafton County,4
New York,Dutchess County,4
Connecticut,Litchfield County,4
Connecticut,New London County,4
Minnesota,Crow Wing County,4
Vermont,Washington County,4
Michigan,Washtenaw County,4
Wisconsin,Dane County,4
Pennsylvania,Lancaster County,4
Connecticut,Middlesex County,4
Minnesota,Freeborn County,4
Wisconsin,La Crosse County,4
Maine,Cumberland County,4
New York,Albany County,3
Vermont,Chittenden County,3
Massachusetts,Suffolk County,3
Massachusetts,Franklin County,3
Massachusetts,Barnstable County,3
New Jersey,Burlington County,3
Massachusetts,Bristol County,3
Maine,York County,3
New Jersey,Camden County,3
Vermont,Caledonia County,3
New Jersey,Essex County,3
Maine,Kennebec County,3
New Jersey,Hudson County,3
New Jersey,Passaic County,3
New Jersey,Somerset County,3
New Hampshire,Cheshire County,3
New York,Oneida County,3
Pennsylvania,Cumberland County,3
Minnesota,Carver County,3
Minnesota,Anoka County,3
New York,Onondaga County,3
New York,Westchester County,3
Minnesota,Ramsey County,3
Pennsylvania,Monroe County,3
Minnesota,St. Louis County,3
Pennsylvania,Dauphin County,3
Minnesota,Scott County,3
Michigan,Ionia County,3
Michigan,Genesee County,3
Pennsylvania,Crawford County,2
Pennsylvania,Armstrong County,2
Pennsylvania,Bucks County,2
Pennsylvania,Susquehanna County,2
Pennsylvania,Cambria County,2
Pennsylvania,Philadelphia County,2
Pennsylvania,Northumberland County,2
Pennsylvania,Northampton County,2
Pennsylvania,Montour County,2
New Jersey,Cumberland County,2
New Hampshire,Strafford County,2
Pennsylvania,Mercer County,2
Pennsylvania,Lehigh County,2
Pennsylvania,Lackawanna County,2
New York,Bronx County,2
New Jersey,Atlantic County,2
Pennsylvania,Greene County,2
Pennsylvania,Erie County,2
Pennsylvania,Union County,2
Rhode Island,Bristol County,2
Pennsylvania,Washington County,2
New York,Kings County,2
New York,Orange County,2
New York,Queens County,2
New Hampshire,Belknap County,2
New York,New York County,2
New York,Richmond County,2
New York,Rockland County,2
New York,Schenectady County,2
New York,Schoharie County,2
New York,Madison County,2
New York,Steuben County,2
Pennsylvania,York County,2
New York,Delaware County,2
New York,Columbia County,2
New York,Chenango County,2
New York,Chemung County,2
New York,Chautauqua County,2
Connecticut,Tolland County,2
New York,Ulster County,2
New York,Washington County,2
Rhode Island,Newport County,2
