Origin State,Origin County,Count
Wyoming,Teton County,1
Massachusetts,Plymouth County,1
Massachusetts,Middlesex County,1
Massachusetts,Hampshire County,1
Massachusetts,Hampden County,1
Massachusetts,Franklin County,1
Massachusetts,Essex County,1
Massachusetts,Dukes County,1
Massachusetts,Bristol County,1
Massachusetts,Berkshire County,1
Massachusetts,Barnstable County,1
Maryland,Wicomico County,1
Maryland,Washington County,1
Maryland,Prince George's County,1
Maryland,Montgomery County,1
Maryland,Howard County,1
Maryland,Harford County,1
Maryland,Frederick County,1
Maryland,Dorchester County,1
Maryland,Charles County,1
Maryland,Cecil County,1
Maryland,Carroll County,1
Maryland,Calvert County,1
Massachusetts,Norfolk County,1
Massachusetts,Suffolk County,1
New York,Essex County,1
Massachusetts,Worcester County,1
Michigan,Sanilac County,1
Michigan,Otsego County,1
Michigan,Oakland County,1
Michigan,Midland County,1
Michigan,Menominee County,1
Michigan,Mecosta County,1
Michigan,Marquette County,1
Michigan,Macomb County,1
Michigan,Livingston County,1
Michigan,Leelanau County,1
Michigan,Kent County,1
Michigan,Kalamazoo County,1
Michigan,Ionia County,1
Michigan,Ingham County,1
Michigan,Grand Traverse County,1
Michigan,Genesee County,1
Michigan,Emmet County,1
Michigan,Eaton County,1
Michigan,Chippewa County,1
Michigan,Calhoun County,1
Michigan,Berrien County,1
Maryland,Baltimore city,1
Maryland,Baltimore County,1
Maryland,Anne Arundel County,1
Maryland,Allegany County,1
Louisiana,East Baton Rouge Parish,1
Louisiana,Calcasieu Parish,1
Kentucky,Scott County,1
Kentucky,Oldham County,1
Kentucky,Jefferson County,1
Kentucky,Hickman County,1
Kentucky,Hart County,1
Kentucky,Harlan County,1
Kentucky,Fayette County,1
Kentucky,Clark County,1
Kansas,Wyandotte County,1
Kansas,Sedgwick County,1
Kansas,Pratt County,1
Kansas,Leavenworth County,1
Kansas,Johnson County,1
Kansas,Finney County,1
Kansas,Douglas County,1
Iowa,Woodbury County,1
Iowa,Story County,1
Iowa,Scott County,1
Iowa,Poweshiek County,1
