Origin State,Origin County,Count
Massachusetts,Middlesex County,28
New Jersey,Bergen County,25
Michigan,Oakland County,22
New York,Westchester County,20
Pennsylvania,Montgomery County,18
Pennsylvania,Allegheny County,17
Minnesota,Hennepin County,15
Connecticut,Fairfield County,15
Massachusetts,Worcester County,13
Pennsylvania,Delaware County,12
New Jersey,Essex County,12
Massachusetts,Essex County,12
Pennsylvania,Chester County,11
Massachusetts,Norfolk County,11
Michigan,Wayne County,11
New Hampshire,Rockingham County,11
Wisconsin,Milwaukee County,10
Connecticut,Hartford County,10
Minnesota,Ramsey County,10
New Jersey,Monmouth County,10
New Jersey,Ocean County,10
Connecticut,New Haven County,9
New York,Suffolk County,9
New Jersey,Mercer County,9
New York,Dutchess County,9
Minnesota,Dakota County,9
Michigan,Washtenaw County,9
New Jersey,Somerset County,8
Michigan,Kent County,8
Massachusetts,Plymouth County,8
Massachusetts,Bristol County,8
New Jersey,Burlington County,8
Michigan,Macomb County,8
Pennsylvania,Centre County,8
New Jersey,Morris County,7
New Jersey,Union County,7
New York,Erie County,7
New York,Monroe County,7
Pennsylvania,Bucks County,7
New Hampshire,Grafton County,7
Maine,Cumberland County,7
Pennsylvania,Lancaster County,7
Connecticut,New London County,7
Minnesota,Washington County,7
Rhode Island,Providence County,7
Wisconsin,Dane County,6
Michigan,Genesee County,6
Pennsylvania,Luzerne County,6
Minnesota,Anoka County,6
New Hampshire,Hillsborough County,6
Pennsylvania,Erie County,6
Pennsylvania,Berks County,6
New Jersey,Hudson County,6
New Jersey,Middlesex County,6
Vermont,Chittenden County,5
New Jersey,Camden County,5
Wisconsin,Waukesha County,5
New Jersey,Passaic County,5
New York,Otsego County,5
New York,Orange County,5
Minnesota,Carver County,5
New York,Saratoga County,5
Pennsylvania,Cumberland County,5
Pennsylvania,Dauphin County,5
Pennsylvania,Lackawanna County,5
Pennsylvania,Northampton County,5
Michigan,Kalamazoo County,5
Vermont,Windsor County,5
Michigan,Ottawa County,5
New York,Ulster County,4
New York,Onondaga County,4
Massachusetts,Berkshire County,4
New York,Albany County,4
New York,Broome County,4
Massachusetts,Hampshire County,4
Maine,Lincoln County,4
New Jersey,Atlantic County,4
New Jersey,Sussex County,4
Wisconsin,Walworth County,4
Pennsylvania,Butler County,4
New York,Nassau County,4
New York,Oneida County,4
Vermont,Rutland County,4
Michigan,Muskegon County,4
New York,Putnam County,4
Rhode Island,Kent County,4
New York,Schenectady County,4
Michigan,Ingham County,4
New York,Rockland County,4
New Jersey,Cape May County,4
Pennsylvania,Westmoreland County,4
New York,Oswego County,4
Michigan,Saginaw County,4
Pennsylvania,Franklin County,3
Wisconsin,Oneida County,3
Pennsylvania,Indiana County,3
Wisconsin,Marathon County,3
Wisconsin,La Crosse County,3
New York,Allegany County,3
Minnesota,Olmsted County,3
Wisconsin,Winnebago County,3
New York,Tompkins County,3
Wisconsin,Kewaunee County,3
New Jersey,Hunterdon County,3
New York,Delaware County,3
Vermont,Lamoille County,3
New York,Livingston County,3
New York,Steuben County,3
New York,St. Lawrence County,3
New York,Wayne County,3
New York,Ontario County,3
Pennsylvania,Blair County,3
Wisconsin,Racine County,3
New York,Jefferson County,3
New York,Clinton County,3
Pennsylvania,Cambria County,3
Minnesota,Lyon County,3
Wisconsin,Waushara County,3
Michigan,Lenawee County,3
Vermont,Addison County,3
Vermont,Bennington County,3
Minnesota,Sibley County,3
Michigan,Livingston County,3
New Hampshire,Strafford County,3
Massachusetts,Hampden County,3
Michigan,Grand Traverse County,3
Maine,York County,3
Massachusetts,Barnstable County,3
Pennsylvania,Washington County,3
Michigan,Emmet County,3
Connecticut,Litchfield County,3
Wisconsin,Brown County,3
Maine,Kennebec County,3
Rhode Island,Washington County,3
Wisconsin,Eau Claire County,3
Massachusetts,Suffolk County,3
Connecticut,Tolland County,3
Michigan,Baraga County,3
Pennsylvania,Susquehanna County,3
Maine,Penobscot County,3
Maine,Washington County,3
Rhode Island,Bristol County,3
Wisconsin,Dunn County,3
Michigan,Hillsdale County,3
Maine,Hancock County,3
Minnesota,Cottonwood County,3
Maine,Aroostook County,3
New Hampshire,Merrimack County,3
Pennsylvania,York County,3
Michigan,Midland County,3
Rhode Island,Newport County,3
Pennsylvania,Lehigh County,3
Pennsylvania,Lawrence County,3
Pennsylvania,Sullivan County,2
Michigan,Van Buren County,2
Pennsylvania,Union County,2
Minnesota,Scott County,2
New York,Warren County,2
Minnesota,Rice County,2
New York,Washington County,2
Pennsylvania,Warren County,2
Pennsylvania,Bedford County,2
Pennsylvania,Schuylkill County,2
Pennsylvania,Snyder County,2
Minnesota,Winona County,2
Pennsylvania,Bradford County,2
Pennsylvania,Pike County,2
Minnesota,Morrison County,2
Pennsylvania,Jefferson County,2
Minnesota,Beltrami County,2
Pennsylvania,McKean County,2
Pennsylvania,Huntingdon County,2
Pennsylvania,Monroe County,2
Pennsylvania,Fayette County,2
Michigan,Wexford County,2
Minnesota,Pope County,2
Minnesota,Carlton County,2
Pennsylvania,Crawford County,2
Minnesota,Polk County,2
Minnesota,Yellow Medicine County,2
Minnesota,McLeod County,2
Pennsylvania,Northumberland County,2
Pennsylvania,Philadelphia County,2
Minnesota,Le Sueur County,2
Minnesota,Aitkin County,2
Minnesota,Fillmore County,2
New York,Sullivan County,2
New Hampshire,Cheshire County,2
New Hampshire,Belknap County,2
Maine,Androscoggin County,2
Maine,Piscataquis County,2
Minnesota,Cass County,2
Massachusetts,Dukes County,2
Minnesota,St. Louis County,2
Minnesota,Stearns County,2
Minnesota,Stevens County,2
Minnesota,Swift County,2
Michigan,Antrim County,2
Michigan,Bay County,2
Michigan,Berrien County,2
Michigan,Calhoun County,2
Michigan,Charlevoix County,2
Michigan,Chippewa County,2
Michigan,Clare County,2
Michigan,Clinton County,2
Michigan,Crawford County,2
Michigan,Mecosta County,2
Michigan,Gogebic County,2
Michigan,Gratiot County,2
Michigan,Huron County,2
Michigan,Jackson County,2
Michigan,Marquette County,2
Michigan,Lake County,2
New Hampshire,Carroll County,2
New Hampshire,Coos County,2
Minnesota,Itasca County,2
Minnesota,Crow Wing County,2
New York,Seneca County,2
Michigan,St. Joseph County,2
New York,Richmond County,2
New York,Rensselaer County,2
New York,Queens County,2
Michigan,St. Clair County,2
New York,Niagara County,2
New York,New York County,2
New York,Madison County,2
New York,Kings County,2
New York,Herkimer County,2
New York,Greene County,2
New York,Essex County,2
Michigan,Roscommon County,2
New York,Bronx County,2
Minnesota,Blue Earth County,2
New Jersey,Warren County,2
Minnesota,Faribault County,2
Minnesota,Douglas County,2
New Jersey,Salem County,2
Minnesota,Dodge County,2
Michigan,Otsego County,2
Minnesota,Wabasha County,2
Minnesota,Sherburne County,2
Michigan,Monroe County,2
New Jersey,Gloucester County,2
Minnesota,Pennington County,2
Wisconsin,Outagamie County,2
Connecticut,Middlesex County,2
Wisconsin,Sauk County,2
Wisconsin,Rock County,2
Wisconsin,Price County,2
Wisconsin,Polk County,2
Wisconsin,Pierce County,2
Wisconsin,Ozaukee County,2
Wisconsin,Marquette County,2
Wisconsin,Trempealeau County,2
Wisconsin,Kenosha County,2
Wisconsin,Jefferson County,2
Wisconsin,Fond du Lac County,2
Wisconsin,Douglas County,2
Wisconsin,Dodge County,2
