Origin State,Origin County,Count
Massachusetts,Middlesex County,6
Connecticut,Hartford County,3
Maine,Waldo County,3
Michigan,Wayne County,3
Michigan,Oakland County,3
New Jersey,Bergen County,3
Rhode Island,Providence County,3
Massachusetts,Hampshire County,3
New Jersey,Burlington County,3
Connecticut,New Haven County,3
Connecticut,New London County,3
New York,Tompkins County,3
New York,Monroe County,2
Pennsylvania,Huntingdon County,2
Connecticut,Fairfield County,2
New Hampshire,Grafton County,2
New Hampshire,Merrimack County,2
Connecticut,Tolland County,2
Rhode Island,Washington County,2
New York,Westchester County,2
Pennsylvania,Union County,2
Pennsylvania,Philadelphia County,2
Pennsylvania,Chester County,2
New York,Madison County,2
New York,Queens County,2
Pennsylvania,Bucks County,2
Pennsylvania,Adams County,2
Minnesota,Ramsey County,2
New Jersey,Mercer County,2
New York,Albany County,2
New York,New York County,2
New York,Bronx County,2
New York,Dutchess County,2
New York,Kings County,2
Wisconsin,Washington County,2
Minnesota,Rice County,2
Minnesota,Kandiyohi County,2
Maine,Kennebec County,2
Michigan,Marquette County,2
Michigan,Kalamazoo County,2
Minnesota,Hennepin County,2
Massachusetts,Suffolk County,2
Massachusetts,Norfolk County,2
Massachusetts,Essex County,2
Massachusetts,Berkshire County,2
Maine,Cumberland County,2
Vermont,Rutland County,2
Wisconsin,Brown County,2
Wisconsin,Iowa County,2
Wisconsin,La Crosse County,2
Wisconsin,Milwaukee County,2
Wisconsin,Outagamie County,2
Wisconsin,Polk County,2
Wisconsin,Racine County,2
Vermont,Windsor County,2
Massachusetts,Worcester County,2
Vermont,Bennington County,2
Michigan,Washtenaw County,2
Michigan,St. Clair County,2
Georgia,Cherokee County,1
Hawaii,Maui County,1
Hawaii,Kauai County,1
Hawaii,Honolulu County,1
District of Columbia,District of Columbia,1
Georgia,Richmond County,1
Georgia,Effingham County,1
Georgia,DeKalb County,1
Indiana,St. Joseph County,1
Indiana,Monroe County,1
Indiana,Marion County,1
Georgia,Cobb County,1
Illinois,McHenry County,1
Florida,Broward County,1
Florida,Collier County,1
Florida,Indian River County,1
Illinois,Cook County,1
Idaho,Madison County,1
Georgia,Chatham County,1
Florida,Volusia County,1
Florida,Sarasota County,1
Florida,Pinellas County,1
