Origin State,Origin County,Count
New Jersey,Burlington County,4
New York,Dutchess County,3
Minnesota,Le Sueur County,3
Michigan,Wayne County,2
Connecticut,Hartford County,2
Pennsylvania,Philadelphia County,2
Pennsylvania,Chester County,2
Pennsylvania,Berks County,2
Pennsylvania,Allegheny County,2
New York,Kings County,2
New York,New York County,2
New York,Putnam County,2
New York,Wayne County,2
Minnesota,Wright County,2
Massachusetts,Bristol County,2
Michigan,Washtenaw County,2
Michigan,St. Joseph County,2
Michigan,Osceola County,2
Massachusetts,Hampshire County,2
Minnesota,Hennepin County,2
Colorado,Larimer County,1
Colorado,Jefferson County,1
Colorado,El Paso County,1
Colorado,Douglas County,1
Colorado,Denver County,1
Colorado,Arapahoe County,1
Colorado,Adams County,1
California,Yuba County,1
California,Yolo County,1
California,Ventura County,1
Florida,Indian River County,1
Colorado,Weld County,1
District of Columbia,District of Columbia,1
Indiana,Henry County,1
Indiana,Bartholomew County,1
Illinois,Lake County,1
Illinois,Cook County,1
Illinois,Champaign County,1
Idaho,Ada County,1
Hawaii,Maui County,1
Hawaii,Honolulu County,1
Georgia,Richmond County,1
Georgia,Glynn County,1
Georgia,Chattahoochee County,1
Florida,Pinellas County,1
Florida,Palm Beach County,1
Florida,Monroe County,1
Florida,Miami-Dade County,1
California,Tulare County,1
Florida,Broward County,1
California,Tuolumne County,1
California,Tehama County,1
California,Trinity County,1
California,El Dorado County,1
California,Marin County,1
California,Madera County,1
California,Los Angeles County,1
California,Lassen County,1
California,Lake County,1
California,Kings County,1
California,Kern County,1
California,Humboldt County,1
California,Fresno County,1
California,Contra Costa County,1
Iowa,Dubuque County,1
California,Butte County,1
California,Alameda County,1
Arizona,Yuma County,1
Arizona,Yavapai County,1
Arizona,Pinal County,1
Arizona,Pima County,1
Arizona,Maricopa County,1
Alaska,Matanuska-Susitna Borough,1
Alaska,Bethel Census Area,1
California,Mendocino County,1
California,Merced County,1
California,Monterey County,1
California,Nevada County,1
California,Sutter County,1
California,Stanislaus County,1
California,Sonoma County,1
California,Solano County,1
California,Siskiyou County,1
California,Shasta County,1
California,Santa Cruz County,1
California,Santa Clara County,1
California,Santa Barbara County,1
California,San Mateo County,1
California,San Luis Obispo County,1
California,San Joaquin County,1
California,San Francisco County,1
California,San Diego County,1
California,San Bernardino County,1
California,Sacramento County,1
California,Riverside County,1
California,Placer County,1
California,Orange County,1
Indiana,Johnson County,1
Washington,Spokane County,1
Iowa,Polk County,1
Kansas,Dickinson County,1
Texas,El Paso County,1
Texas,Dallas County,1
Texas,Cooke County,1
Texas,Cameron County,1
Texas,Bandera County,1
Tennessee,Davidson County,1
South Carolina,Richland County,1
South Carolina,Charleston County,1
South Carolina,Berkeley County,1
STATE2_NAME,COUNTY2_NAME,1
Puerto Rico,San Juan Municipio,1
Oregon,Washington County,1
Oregon,Multnomah County,1
Oregon,Marion County,1
Oregon,Lincoln County,1
Oregon,Lane County,1
Oregon,Klamath County,1
Texas,Ellis County,1
Texas,Harris County,1
Texas,Harrison County,1
Virginia,Chesapeake city,1
Washington,San Juan County,1
Washington,Pierce County,1
Washington,Pend Oreille County,1
Washington,King County,1
Washington,Ferry County,1
Washington,Clark County,1
Virginia,Lexington city,1
Utah,Utah County,1
Texas,Henderson County,1
Utah,Sevier County,1
Utah,Salt Lake County,1
Utah,Davis County,1
Texas,Williamson County,1
Texas,Wichita County,1
Texas,Travis County,1
Texas,Johnson County,1
Oregon,Jackson County,1
Oregon,Crook County,1
Oregon,Coos County,1
Missouri,Dent County,1
Nevada,Clark County,1
Nebraska,Seward County,1
Nebraska,Lancaster County,1
Nebraska,Douglas County,1
Montana,Lewis and Clark County,1
Missouri,Pulaski County,1
Missouri,Douglas County,1
Washington,Skagit County,1
Nevada,Humboldt County,1
Maryland,Montgomery County,1
Maryland,Baltimore city,1
Maryland,Anne Arundel County,1
Louisiana,West Baton Rouge Parish,1
Louisiana,Vernon Parish,1
Kentucky,Clay County,1
Kansas,Geary County,1
Nevada,Douglas County,1
Nevada,Washoe County,1
Oregon,Clackamas County,1
Ohio,Butler County,1
Oregon,Benton County,1
Oklahoma,Tulsa County,1
Oklahoma,Coal County,1
Ohio,Montgomery County,1
Ohio,Lucas County,1
Ohio,Hamilton County,1
Ohio,Greene County,1
North Dakota,McLean County,1
New Mexico,Bernalillo County,1
North Dakota,Burleigh County,1
North Carolina,Wake County,1
North Carolina,Orange County,1
North Carolina,Onslow County,1
North Carolina,Mecklenburg County,1
North Carolina,Iredell County,1
New Mexico,Santa Fe County,1
Alaska,Anchorage Municipality,1
