Origin State,Origin County,Count
Wyoming,Teton County,1
Maine,Washington County,1
Maryland,Frederick County,1
Maryland,Charles County,1
Maryland,Cecil County,1
Maryland,Carroll County,1
Maryland,Baltimore city,1
Maryland,Baltimore County,1
Maryland,Anne Arundel County,1
Maryland,Allegany County,1
Maine,Waldo County,1
Maryland,Montgomery County,1
Maine,Penobscot County,1
Maine,Oxford County,1
Maine,Lincoln County,1
Maine,Knox County,1
Maine,Kennebec County,1
Maine,Hancock County,1
Maine,Cumberland County,1
Maine,Androscoggin County,1
Maryland,Howard County,1
Maryland,Prince George's County,1
Michigan,Branch County,1
Massachusetts,Franklin County,1
Massachusetts,Worcester County,1
Massachusetts,Suffolk County,1
Massachusetts,Plymouth County,1
Massachusetts,Norfolk County,1
Massachusetts,Nantucket County,1
Massachusetts,Middlesex County,1
Massachusetts,Hampshire County,1
Massachusetts,Hampden County,1
Massachusetts,Essex County,1
Maryland,Somerset County,1
Massachusetts,Bristol County,1
Massachusetts,Berkshire County,1
Massachusetts,Barnstable County,1
Maryland,Worcester County,1
Maryland,Wicomico County,1
Maryland,Washington County,1
Maryland,Talbot County,1
Maryland,St. Mary's County,1
Louisiana,Orleans Parish,1
Louisiana,Madison Parish,1
Louisiana,Lafayette Parish,1
Indiana,Tippecanoe County,1
Iowa,Shelby County,1
Iowa,Polk County,1
Iowa,Linn County,1
Iowa,Johnson County,1
Iowa,Emmet County,1
Iowa,Dubuque County,1
Indiana,Wayne County,1
Indiana,Vanderburgh County,1
Indiana,St. Joseph County,1
Louisiana,LaSalle Parish,1
Indiana,Shelby County,1
Indiana,Porter County,1
Indiana,Owen County,1
Indiana,Monroe County,1
Indiana,Marion County,1
Indiana,LaPorte County,1
Indiana,Jefferson County,1
Indiana,Hamilton County,1
Iowa,Story County,1
Kansas,Atchison County,1
Kansas,Bourbon County,1
Kansas,Cowley County,1
Louisiana,Jefferson Parish,1
Louisiana,Iberville Parish,1
Louisiana,East Baton Rouge Parish,1
Louisiana,Caddo Parish,1
Louisiana,Ascension Parish,1
Kentucky,Scott County,1
Kentucky,Lyon County,1
Kentucky,Kenton County,1
Kentucky,Jefferson County,1
Kentucky,Henry County,1
Kentucky,Fayette County,1
Kentucky,Daviess County,1
Kentucky,Christian County,1
Kansas,Thomas County,1
Kansas,Saline County,1
Kansas,Johnson County,1
Kansas,Douglas County,1
Michigan,Berrien County,1
