Origin State,Origin County,Count
Massachusetts,Middlesex County,26
Minnesota,Hennepin County,11
Pennsylvania,Montgomery County,10
Pennsylvania,Allegheny County,8
New Jersey,Bergen County,8
New York,Monroe County,7
Connecticut,Fairfield County,7
Connecticut,Hartford County,7
New York,Westchester County,7
Massachusetts,Essex County,7
New Jersey,Hudson County,7
Michigan,Oakland County,7
New York,Dutchess County,6
Maine,Cumberland County,6
Massachusetts,Worcester County,6
New Jersey,Mercer County,6
New Jersey,Morris County,6
Pennsylvania,Delaware County,6
New Jersey,Middlesex County,6
Pennsylvania,Chester County,6
New Jersey,Monmouth County,6
New Hampshire,Hillsborough County,5
Michigan,Ingham County,5
Connecticut,New Haven County,5
Massachusetts,Norfolk County,5
Michigan,Washtenaw County,5
Pennsylvania,Cumberland County,5
Wisconsin,Milwaukee County,5
New York,Tompkins County,5
New York,Suffolk County,4
Connecticut,New London County,4
Pennsylvania,York County,4
Wisconsin,Brown County,4
New Hampshire,Grafton County,4
New York,Nassau County,4
Michigan,Macomb County,4
Maine,York County,4
Massachusetts,Hampshire County,4
Minnesota,Anoka County,3
New York,Schenectady County,3
Michigan,Muskegon County,3
New York,Allegany County,3
Michigan,Wayne County,3
New York,Cortland County,3
Rhode Island,Kent County,3
New York,Onondaga County,3
New Jersey,Somerset County,3
Rhode Island,Providence County,3
Minnesota,Dakota County,3
Minnesota,Stearns County,3
New York,Jefferson County,3
Minnesota,Olmsted County,3
New York,Erie County,3
Michigan,Kalamazoo County,3
Michigan,Kent County,3
Massachusetts,Bristol County,3
Pennsylvania,Fayette County,3
Michigan,Bay County,3
Pennsylvania,Beaver County,3
Pennsylvania,Erie County,3
Vermont,Chittenden County,3
Massachusetts,Franklin County,3
Michigan,Eaton County,3
New Jersey,Camden County,3
Massachusetts,Berkshire County,3
New Jersey,Essex County,3
Wisconsin,Dane County,3
Wisconsin,Rock County,3
Pennsylvania,Centre County,3
New York,Cayuga County,3
Pennsylvania,Westmoreland County,3
Massachusetts,Plymouth County,3
New Jersey,Sussex County,2
Pennsylvania,Adams County,2
New Jersey,Union County,2
New Jersey,Passaic County,2
New Jersey,Burlington County,2
New York,Albany County,2
New Jersey,Cape May County,2
New York,Bronx County,2
Pennsylvania,Bucks County,2
Connecticut,Litchfield County,2
New Hampshire,Belknap County,2
Pennsylvania,Butler County,2
Connecticut,Middlesex County,2
Pennsylvania,Lancaster County,2
Pennsylvania,Lebanon County,2
New Hampshire,Merrimack County,2
Pennsylvania,Lehigh County,2
Pennsylvania,Monroe County,2
Rhode Island,Newport County,2
Pennsylvania,Northampton County,2
New Hampshire,Rockingham County,2
New Hampshire,Strafford County,2
Pennsylvania,Philadelphia County,2
Pennsylvania,Union County,2
New York,Broome County,2
Wisconsin,Winnebago County,2
New York,Chautauqua County,2
Minnesota,Chippewa County,2
New York,Chemung County,2
Michigan,Livingston County,2
Vermont,Addison County,2
Vermont,Windsor County,2
Michigan,Iosco County,2
Michigan,Houghton County,2
Michigan,Hillsdale County,2
Michigan,Grand Traverse County,2
Michigan,Genesee County,2
Michigan,Clinton County,2
Michigan,Calhoun County,2
Michigan,Berrien County,2
Massachusetts,Suffolk County,2
Massachusetts,Nantucket County,2
Massachusetts,Hampden County,2
Massachusetts,Dukes County,2
Massachusetts,Barnstable County,2
New York,Ulster County,2
Maine,Washington County,2
Maine,Oxford County,2
Maine,Kennebec County,2
Maine,Androscoggin County,2
Wisconsin,Kenosha County,2
Wisconsin,Manitowoc County,2
Wisconsin,Racine County,2
Minnesota,Carver County,2
Minnesota,Blue Earth County,2
Minnesota,Chisago County,2
New York,Steuben County,2
New York,Clinton County,2
New York,Kings County,2
Minnesota,Clay County,2
New York,New York County,2
New York,Orange County,2
New York,Queens County,2
New York,Rensselaer County,2
New York,Saratoga County,2
Wisconsin,Waukesha County,2
Minnesota,Washington County,2
Minnesota,St. Louis County,2
Minnesota,Scott County,2
Minnesota,Rice County,2
Minnesota,Ramsey County,2
Minnesota,Kandiyohi County,2
Minnesota,Nicollet County,2
Minnesota,Wadena County,2
Indiana,Clark County,1
Illinois,Will County,1
Illinois,Ogle County,1
Illinois,Woodford County,1
Indiana,Allen County,1
Illinois,Rock Island County,1
Indiana,Hamilton County,1
Illinois,Peoria County,1
Illinois,Tazewell County,1
Illinois,Vermilion County,1
Indiana,Henry County,1
Indiana,Johnson County,1
Indiana,Lake County,1
Indiana,Marion County,1
Iowa,Fayette County,1
Indiana,Monroe County,1
Kentucky,Jefferson County,1
Kansas,Ford County,1
Kansas,Geary County,1
Kansas,Johnson County,1
Kansas,Riley County,1
Kansas,Sedgwick County,1
Kansas,Wyandotte County,1
Kentucky,Boone County,1
Kentucky,Fayette County,1
Kentucky,Hardin County,1
Kentucky,Scott County,1
Indiana,Morgan County,1
Louisiana,Beauregard Parish,1
Louisiana,Caddo Parish,1
Louisiana,Calcasieu Parish,1
Louisiana,Concordia Parish,1
Louisiana,East Baton Rouge Parish,1
Louisiana,Jefferson Parish,1
Louisiana,Lafayette Parish,1
Louisiana,Orleans Parish,1
Louisiana,St. Landry Parish,1
Kansas,Douglas County,1
Iowa,Warren County,1
