Origin State,Count
Massachusetts,26
Minnesota,11
Pennsylvania,10
New Jersey,8
Michigan,7
New York,7
Connecticut,7
Maine,6
New Hampshire,5
Wisconsin,5
Rhode Island,3
Vermont,3
District of Columbia,1
Alaska,1
Maryland,1
Arizona,1
Louisiana,1
Kentucky,1
Kansas,1
Arkansas,1
Iowa,1
California,1
Indiana,1
Illinois,1
Idaho,1
Colorado,1
Georgia,1
Delaware,1
Florida,1
Hawaii,1
Missouri,1
Mississippi,1
Puerto Rico,1
Washington,1
Virginia,1
Utah,1
Texas,1
Tennessee,1
South Dakota,1
South Carolina,1
STATE2_NAME,1
Oregon,1
West Virginia,1
Oklahoma,1
Ohio,1
North Dakota,1
North Carolina,1
New Mexico,1
Nevada,1
Nebraska,1
Montana,1
Alabama,1
