Origin State,Origin County,Count
Connecticut,New Haven County,4
Connecticut,Hartford County,4
Massachusetts,Plymouth County,3
Massachusetts,Middlesex County,3
New York,Nassau County,3
New Hampshire,Rockingham County,3
Minnesota,Hennepin County,3
Michigan,Wayne County,3
Wisconsin,Milwaukee County,3
Connecticut,Fairfield County,3
Michigan,Washtenaw County,2
New York,Erie County,2
Wisconsin,Grant County,2
Wisconsin,Bayfield County,2
Minnesota,Becker County,2
Minnesota,Cass County,2
Wisconsin,Brown County,2
Minnesota,Kandiyohi County,2
Minnesota,Lake of the Woods County,2
Minnesota,Ramsey County,2
Minnesota,St. Louis County,2
New York,Kings County,2
New York,Jefferson County,2
Wisconsin,Dane County,2
Michigan,Calhoun County,2
New Jersey,Union County,2
Pennsylvania,Beaver County,2
Pennsylvania,Berks County,2
Pennsylvania,Fulton County,2
Pennsylvania,Indiana County,2
New Jersey,Morris County,2
New Jersey,Mercer County,2
New Jersey,Essex County,2
Rhode Island,Newport County,2
New Jersey,Cape May County,2
New Jersey,Bergen County,2
Michigan,Genesee County,2
New Hampshire,Strafford County,2
Massachusetts,Suffolk County,2
New York,Queens County,2
New York,Tompkins County,2
Maine,Androscoggin County,2
Maine,Cumberland County,2
Maine,Hancock County,2
Connecticut,New London County,2
Wisconsin,Green County,2
Maine,Knox County,2
Wisconsin,La Crosse County,2
New York,Richmond County,2
New York,Otsego County,2
New York,Orange County,2
Massachusetts,Barnstable County,2
Massachusetts,Hampden County,2
Massachusetts,Hampshire County,2
New York,New York County,2
Vermont,Windsor County,2
Vermont,Chittenden County,2
Massachusetts,Norfolk County,2
New York,Ulster County,2
District of Columbia,District of Columbia,1
Delaware,New Castle County,1
Delaware,Sussex County,1
Florida,Citrus County,1
Florida,Alachua County,1
Florida,Miami-Dade County,1
Florida,Manatee County,1
Florida,Duval County,1
Florida,Broward County,1
Indiana,Tippecanoe County,1
Georgia,Muscogee County,1
Florida,Monroe County,1
Illinois,Cook County,1
Iowa,Linn County,1
Iowa,Bremer County,1
Idaho,Latah County,1
Idaho,Owyhee County,1
Idaho,Twin Falls County,1
Illinois,Champaign County,1
Illinois,Lake County,1
Idaho,Canyon County,1
Illinois,McLean County,1
Illinois,St. Clair County,1
Illinois,Stephenson County,1
Illinois,Will County,1
Indiana,Floyd County,1
Indiana,Lake County,1
Idaho,Kootenai County,1
Idaho,Bannock County,1
Florida,Okaloosa County,1
Georgia,Forsyth County,1
Florida,Orange County,1
Florida,Palm Beach County,1
Florida,Pinellas County,1
Florida,Polk County,1
Georgia,Chatham County,1
Georgia,Chattahoochee County,1
Georgia,Fulton County,1
Idaho,Ada County,1
Georgia,Gwinnett County,1
Indiana,Monroe County,1
Georgia,Richmond County,1
Hawaii,Hawaii County,1
Hawaii,Honolulu County,1
Hawaii,Kauai County,1
Hawaii,Maui County,1
Colorado,Garfield County,1
Colorado,Weld County,1
Arkansas,Pope County,1
California,Amador County,1
California,Butte County,1
California,Calaveras County,1
California,Contra Costa County,1
California,Del Norte County,1
California,El Dorado County,1
California,Fresno County,1
California,Glenn County,1
