Origin State,Origin County,Count
Minnesota,Hennepin County,12
Michigan,Oakland County,9
Wisconsin,Milwaukee County,9
Pennsylvania,Allegheny County,8
Michigan,Wayne County,8
Massachusetts,Middlesex County,7
Pennsylvania,Montgomery County,7
New York,Orange County,7
Connecticut,Fairfield County,6
Michigan,Genesee County,6
New Jersey,Hudson County,5
Massachusetts,Essex County,5
Rhode Island,Providence County,5
Pennsylvania,Bucks County,5
Michigan,Macomb County,5
Pennsylvania,Westmoreland County,5
New York,Monroe County,4
New York,Albany County,4
Pennsylvania,Washington County,4
New Hampshire,Merrimack County,4
New Hampshire,Hillsborough County,4
New York,Suffolk County,4
New Jersey,Ocean County,4
Pennsylvania,Lancaster County,4
Minnesota,Ramsey County,4
New Jersey,Passaic County,4
New York,Tompkins County,4
Michigan,Washtenaw County,4
Michigan,Newaygo County,4
Maine,Penobscot County,4
Michigan,Kalamazoo County,4
Michigan,Eaton County,3
Maine,Cumberland County,3
Pennsylvania,Chester County,3
Massachusetts,Hampden County,3
Massachusetts,Worcester County,3
New York,Erie County,3
Michigan,Bay County,3
New York,Nassau County,3
New York,Onondaga County,3
New York,Ontario County,3
Pennsylvania,York County,3
Minnesota,Anoka County,3
Connecticut,New London County,3
New York,Rockland County,3
Connecticut,New Haven County,3
New York,Westchester County,3
Connecticut,Hartford County,3
Michigan,Kent County,3
Pennsylvania,Delaware County,3
Michigan,Mecosta County,3
Minnesota,Blue Earth County,3
Connecticut,Tolland County,3
Michigan,Ingham County,3
Wisconsin,Brown County,3
Wisconsin,Dane County,3
Wisconsin,Winnebago County,3
Wisconsin,Waukesha County,3
New Jersey,Burlington County,3
New Jersey,Atlantic County,3
Minnesota,Cottonwood County,2
Michigan,Livingston County,2
Pennsylvania,Blair County,2
Michigan,Midland County,2
Michigan,Muskegon County,2
Pennsylvania,Berks County,2
Michigan,Oceana County,2
Michigan,St. Joseph County,2
Minnesota,Brown County,2
Pennsylvania,Franklin County,2
Minnesota,Crow Wing County,2
Wisconsin,Columbia County,2
Minnesota,Goodhue County,2
Minnesota,Marshall County,2
Minnesota,Scott County,2
Minnesota,Sherburne County,2
Minnesota,St. Louis County,2
Minnesota,Waseca County,2
Maine,Oxford County,2
Pennsylvania,Erie County,2
Pennsylvania,Clinton County,2
Pennsylvania,Greene County,2
Minnesota,Dodge County,2
Michigan,Isabella County,2
Michigan,Jackson County,2
Michigan,Berrien County,2
Pennsylvania,Cumberland County,2
Massachusetts,Barnstable County,2
Massachusetts,Bristol County,2
Pennsylvania,Centre County,2
Massachusetts,Norfolk County,2
Massachusetts,Plymouth County,2
Massachusetts,Suffolk County,2
Michigan,Alcona County,2
Michigan,Alpena County,2
Wisconsin,Walworth County,2
Michigan,Calhoun County,2
Maine,Kennebec County,2
Michigan,Charlevoix County,2
Wisconsin,Rock County,2
Wisconsin,Racine County,2
Michigan,Hillsdale County,2
Wisconsin,Juneau County,2
Wisconsin,Grant County,2
Wisconsin,Forest County,2
Connecticut,Litchfield County,2
Wisconsin,Douglas County,2
Pennsylvania,Dauphin County,2
Pennsylvania,Lackawanna County,2
Pennsylvania,Crawford County,2
Pennsylvania,McKean County,2
New York,Bronx County,2
New York,Madison County,2
New York,Livingston County,2
New York,Kings County,2
Pennsylvania,Mercer County,2
New York,Greene County,2
New Jersey,Essex County,2
New York,Delaware County,2
New York,Columbia County,2
New York,Broome County,2
New York,Allegany County,2
New Jersey,Camden County,2
New Jersey,Mercer County,2
Pennsylvania,Northampton County,2
Pennsylvania,Philadelphia County,2
Pennsylvania,Venango County,2
New Jersey,Middlesex County,2
New Jersey,Union County,2
New Jersey,Warren County,2
Vermont,Bennington County,2
Vermont,Chittenden County,2
New Jersey,Cumberland County,2
New York,Jefferson County,2
New York,Ulster County,2
New York,Queens County,2
Pennsylvania,Mifflin County,2
New York,Wyoming County,2
Rhode Island,Newport County,2
New York,New York County,2
Rhode Island,Bristol County,2
New York,Schoharie County,2
New York,Richmond County,2
New York,Schenectady County,2
New Hampshire,Rockingham County,2
New York,Niagara County,2
Louisiana,Jefferson Davis Parish,1
Louisiana,De Soto Parish,1
Louisiana,Iberia Parish,1
Louisiana,Jefferson Parish,1
Louisiana,Grant Parish,1
Kansas,Johnson County,1
Louisiana,Franklin Parish,1
Louisiana,LaSalle Parish,1
Louisiana,Lafayette Parish,1
Louisiana,Lincoln Parish,1
Louisiana,East Carroll Parish,1
Louisiana,East Baton Rouge Parish,1
Kansas,Franklin County,1
Louisiana,Concordia Parish,1
Kansas,Edwards County,1
Louisiana,Calcasieu Parish,1
Kansas,Finney County,1
Louisiana,Caddo Parish,1
Louisiana,Claiborne Parish,1
Louisiana,Bossier Parish,1
Louisiana,Bienville Parish,1
Louisiana,Beauregard Parish,1
Kansas,Geary County,1
Louisiana,Avoyelles Parish,1
Kentucky,Boone County,1
Kansas,Rice County,1
Kansas,Kingman County,1
Kansas,Leavenworth County,1
Kentucky,Daviess County,1
Kentucky,Fayette County,1
Kentucky,Henderson County,1
Kentucky,Jefferson County,1
Kentucky,Kenton County,1
Kentucky,Lewis County,1
Kentucky,Madison County,1
Kentucky,McCracken County,1
Kentucky,Montgomery County,1
Kentucky,Oldham County,1
Kentucky,Warren County,1
Louisiana,Ascension Parish,1
Kansas,Wyandotte County,1
Louisiana,Madison Parish,1
Kansas,Washington County,1
Kansas,Shawnee County,1
Kansas,Seward County,1
Kansas,Sedgwick County,1
Kansas,Saline County,1
Kansas,Riley County,1
Kentucky,Boyle County,1
Kansas,Reno County,1
Kansas,Pratt County,1
Kansas,Neosho County,1
Kansas,Montgomery County,1
Kansas,Miami County,1
Kansas,McPherson County,1
Louisiana,Livingston Parish,1
Wyoming,Sheridan County,1
Louisiana,Morehouse Parish,1
Missouri,Barry County,1
Missouri,Dallas County,1
Missouri,Cole County,1
Missouri,Clinton County,1
Missouri,Clay County,1
Missouri,Cass County,1
Missouri,Buchanan County,1
Missouri,Boone County,1
Missouri,Benton County,1
Mississippi,Wayne County,1
Missouri,Gentry County,1
