Origin State,Count
Minnesota,12
Michigan,9
Wisconsin,9
Pennsylvania,8
New York,7
Massachusetts,7
Connecticut,6
New Jersey,5
Rhode Island,5
Maine,4
New Hampshire,4
Vermont,2
Kansas,1
Kentucky,1
Indiana,1
Louisiana,1
Maryland,1
Iowa,1
Wyoming,1
Illinois,1
Idaho,1
Georgia,1
Florida,1
District of Columbia,1
Delaware,1
Colorado,1
California,1
Arkansas,1
Arizona,1
Alaska,1
Hawaii,1
Montana,1
Mississippi,1
STATE2_NAME,1
West Virginia,1
Washington,1
Virginia,1
Utah,1
Texas,1
Tennessee,1
South Dakota,1
South Carolina,1
Puerto Rico,1
Missouri,1
Oregon,1
Oklahoma,1
Ohio,1
North Dakota,1
North Carolina,1
New Mexico,1
Nevada,1
Nebraska,1
Alabama,1
