Origin State,Origin County,Count
Massachusetts,Middlesex County,17
Pennsylvania,Montgomery County,10
New Jersey,Middlesex County,9
Connecticut,Hartford County,9
New York,Suffolk County,8
New Jersey,Essex County,8
New York,Westchester County,8
Michigan,Wayne County,7
Pennsylvania,Allegheny County,7
Massachusetts,Essex County,7
Massachusetts,Worcester County,7
Michigan,Oakland County,7
Connecticut,New Haven County,7
New York,Chautauqua County,7
New York,Monroe County,7
New Jersey,Monmouth County,7
Massachusetts,Norfolk County,6
New Jersey,Mercer County,6
Minnesota,Hennepin County,6
New Jersey,Union County,6
Connecticut,New London County,5
New Jersey,Bergen County,5
Pennsylvania,Delaware County,5
Pennsylvania,Dauphin County,5
Pennsylvania,Centre County,5
New York,Saratoga County,5
New Jersey,Morris County,5
New Jersey,Ocean County,5
Michigan,Ingham County,5
Michigan,Kent County,5
Michigan,Macomb County,5
New York,Rockland County,5
Pennsylvania,Erie County,5
New York,Livingston County,4
Wisconsin,Dane County,4
New York,Erie County,4
New York,Nassau County,4
Pennsylvania,Cumberland County,4
Pennsylvania,Lancaster County,4
New York,Onondaga County,4
New Jersey,Warren County,4
New York,Orange County,4
Michigan,Washtenaw County,4
Vermont,Chittenden County,4
Massachusetts,Barnstable County,4
New Jersey,Hudson County,4
New York,Dutchess County,4
New York,Ulster County,4
Pennsylvania,Westmoreland County,4
Pennsylvania,Adams County,4
New Jersey,Burlington County,4
Maine,Washington County,4
Minnesota,St. Louis County,3
Connecticut,Fairfield County,3
Pennsylvania,Washington County,3
Pennsylvania,York County,3
New York,Oneida County,3
Pennsylvania,Luzerne County,3
New York,Ontario County,3
Pennsylvania,Beaver County,3
Minnesota,Rock County,3
New York,Rensselaer County,3
Pennsylvania,Lehigh County,3
Vermont,Franklin County,3
Maine,Lincoln County,3
Minnesota,Ramsey County,3
New York,Clinton County,3
New York,Schenectady County,3
Pennsylvania,Northampton County,3
Wisconsin,Kenosha County,3
Rhode Island,Providence County,3
Massachusetts,Suffolk County,3
New York,Cayuga County,3
New Jersey,Passaic County,3
Pennsylvania,Indiana County,3
New Jersey,Camden County,3
Wisconsin,Racine County,3
Maine,Cumberland County,3
New York,Albany County,3
Wisconsin,Waukesha County,3
New Jersey,Atlantic County,3
New York,Broome County,3
New York,Cattaraugus County,3
Massachusetts,Hampden County,3
New Hampshire,Rockingham County,3
Rhode Island,Kent County,3
Pennsylvania,Blair County,2
Pennsylvania,Bucks County,2
Pennsylvania,Jefferson County,2
Minnesota,Washington County,2
Pennsylvania,Huntingdon County,2
Massachusetts,Plymouth County,2
