Origin State,Origin County,Count
Wyoming,Sweetwater County,1
Kentucky,Union County,1
Kentucky,Shelby County,1
Kentucky,Scott County,1
Kentucky,Rowan County,1
Kentucky,Perry County,1
Kentucky,Oldham County,1
Kentucky,Nelson County,1
Kentucky,Meade County,1
Kentucky,McLean County,1
Kentucky,McCracken County,1
Kentucky,Marshall County,1
Kentucky,Madison County,1
Kentucky,Lyon County,1
Kentucky,Lewis County,1
Kentucky,Knott County,1
Kentucky,Jefferson County,1
Kentucky,Henderson County,1
Kentucky,Hardin County,1
Kentucky,Graves County,1
Kentucky,Grant County,1
Kentucky,Franklin County,1
Kentucky,Fayette County,1
Kentucky,Taylor County,1
Kentucky,Warren County,1
Kentucky,Clark County,1
Kentucky,Whitley County,1
Maryland,Baltimore County,1
Maine,Penobscot County,1
Louisiana,West Baton Rouge Parish,1
Louisiana,Washington Parish,1
Louisiana,Vernon Parish,1
Louisiana,Terrebonne Parish,1
Louisiana,Tangipahoa Parish,1
Louisiana,St. Tammany Parish,1
Louisiana,St. John the Baptist Parish,1
Louisiana,St. Bernard Parish,1
Louisiana,Rapides Parish,1
Louisiana,Orleans Parish,1
Louisiana,Natchitoches Parish,1
Louisiana,Livingston Parish,1
Louisiana,Lincoln Parish,1
Louisiana,Lafayette Parish,1
Louisiana,Jefferson Parish,1
Louisiana,Iberia Parish,1
Louisiana,Caddo Parish,1
Louisiana,Bossier Parish,1
Kentucky,Woodford County,1
Kentucky,Estill County,1
Kentucky,Christian County,1
Wyoming,Laramie County,1
Indiana,Tipton County,1
Indiana,Steuben County,1
Indiana,St. Joseph County,1
Indiana,Rush County,1
Indiana,Ripley County,1
Indiana,Porter County,1
Indiana,Parke County,1
Indiana,Montgomery County,1
Indiana,Monroe County,1
Indiana,Marshall County,1
Indiana,Marion County,1
Indiana,Lake County,1
Indiana,LaPorte County,1
Indiana,LaGrange County,1
Indiana,Howard County,1
Indiana,Henry County,1
Indiana,Hamilton County,1
Indiana,Grant County,1
Indiana,Elkhart County,1
Indiana,Clark County,1
Indiana,Cass County,1
Indiana,Boone County,1
Indiana,Tippecanoe County,1
Indiana,Vigo County,1
Kentucky,Casey County,1
Indiana,Whitley County,1
Kentucky,Calloway County,1
Kentucky,Bullitt County,1
Kentucky,Boyle County,1
Kentucky,Boone County,1
Kansas,Shawnee County,1
Kansas,Sedgwick County,1
Kansas,Riley County,1
Kansas,Montgomery County,1
Kansas,Johnson County,1
Kansas,Grant County,1
Kansas,Geary County,1
Iowa,Warren County,1
Iowa,Story County,1
Iowa,Scott County,1
Iowa,Polk County,1
Iowa,Linn County,1
Iowa,Johnson County,1
Iowa,Fayette County,1
Iowa,Dubuque County,1
Iowa,Cerro Gordo County,1
Iowa,Butler County,1
Maryland,Baltimore city,1
