Origin State,Origin County,Count
Michigan,Oakland County,36
Massachusetts,Middlesex County,28
New Jersey,Bergen County,25
Michigan,Wayne County,24
Minnesota,Hennepin County,22
Pennsylvania,Allegheny County,21
Wisconsin,Waukesha County,20
Wisconsin,Dane County,20
New York,Westchester County,20
Wisconsin,Walworth County,19
Pennsylvania,Montgomery County,18
Wisconsin,Milwaukee County,17
Connecticut,Fairfield County,15
Massachusetts,Worcester County,13
Pennsylvania,Delaware County,12
Connecticut,Hartford County,9
Massachusetts,Essex County,9
New York,Suffolk County,8
Massachusetts,Norfolk County,8
New York,Dutchess County,8
New York,Jefferson County,8
Pennsylvania,York County,7
New York,Monroe County,7
Connecticut,New Haven County,6
Michigan,Macomb County,5
New York,Tompkins County,5
Pennsylvania,Chester County,5
New Jersey,Hudson County,5
Minnesota,Dakota County,5
New Hampshire,Hillsborough County,5
Pennsylvania,Luzerne County,5
New Jersey,Burlington County,5
Minnesota,Stearns County,4
Pennsylvania,Beaver County,4
Michigan,Jackson County,4
New Jersey,Mercer County,4
New Jersey,Morris County,4
Michigan,Washtenaw County,4
Rhode Island,Providence County,4
Massachusetts,Hampshire County,3
New York,Oneida County,3
Maine,Waldo County,3
Michigan,Midland County,3
Pennsylvania,Lycoming County,3
Massachusetts,Plymouth County,3
New York,Nassau County,3
New Hampshire,Rockingham County,3
Michigan,Kent County,3
Minnesota,Le Sueur County,3
Pennsylvania,Philadelphia County,2
New York,Kings County,2
Pennsylvania,Berks County,2
Minnesota,Anoka County,2
Michigan,Mecosta County,2
Wyoming,Sweetwater County,1
Kentucky,Union County,1
Kentucky,Shelby County,1
Kentucky,Scott County,1
Kentucky,Rowan County,1
Kentucky,Perry County,1
Kentucky,Oldham County,1
Kentucky,Nelson County,1
Kentucky,Meade County,1
Kentucky,McLean County,1
